"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.437720100E-2  4.307080805E-1	3.077169895E0	1.347877026E1	1.383227138E1
3.557308700E-2	4.689932466E-1	3.067598581E0	1.346919823E1	1.382206268E1
3.676892000E-2	5.096712112E-1	3.065205812E0	1.343091393E1	1.378567011E1
3.796475300E-2	5.359922647E-1	3.077169895E0	1.337827110E1	1.373806391E1
3.916058700E-2	5.479564071E-1	3.110669374E0	1.332323647E1	1.369252169E1
4.035642000E-2	5.670989752E-1	3.148954630E0	1.326820183E1	1.364854191E1
4.155225300E-2	5.982056856E-1	3.172882795E0	1.321077347E1	1.359961657E1
4.274808700E-2	6.245267391E-1	3.196810961E0	1.316770267E1	1.356458727E1
4.394392000E-2	6.484549642E-1	3.218346357E0	1.313181114E1	1.353597839E1
4.513975300E-2	6.652047038E-1	3.235096216E0	1.309591866E1	1.350597757E1
4.633558700E-2	6.795616150E-1	3.256631613E0	1.305045509E1	1.346780723E1
4.753142000E-2	6.939185858E-1	3.270988464E0	1.299302673E1	1.341639416E1
4.872725300E-2	6.867401004E-1	3.273381472E0	1.293320656E1	1.335868519E1
4.992308700E-2	6.819544435E-1	3.268595695E0	1.285185051E1	1.327851050E1
5.111886800E-2	6.867401004E-1	3.266202927E0	1.274656582E1	1.317629059E1
5.231470100E-2	6.843472719E-1	3.273381472E0	1.263410378E1	1.306919797E1
5.351053500E-2	6.628118753E-1	3.263810158E0	1.250249863E1	1.293847936E1
5.470636800E-2	6.317051649E-1	3.251846075E0	1.235892868E1	1.279518161E1
5.590220100E-2	5.982056856E-1	3.256631613E0	1.221535969E1	1.265616497E1
5.709803500E-2	5.527420044E-1	3.268595695E0	1.210528946E1	1.255098699E1
5.829386800E-2	5.192425251E-1	3.287738323E0	1.203111267E1	1.248304883E1
5.948970100E-2	4.713860750E-1	3.309273720E0	1.191386414E1	1.237391030E1
