"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.173479300E-2	5.168496966E-1	1.024128079E0	9.899106979E0	9.965354531E0
3.293078300E-2	5.000999570E-1	1.014556766E0	9.923035622E0	9.987294996E0
3.412708500E-2	4.737788737E-1	9.930213690E-1	9.951749802E0	1.001238643E1
3.532317900E-2	4.283152521E-1	9.810572863E-1	9.975677490E0	1.003294915E1
3.651927200E-2	3.828516304E-1	9.810572863E-1	9.994820595E0	1.005014863E1
3.771536600E-2	3.589234054E-1	9.858429432E-1	1.000917721E1	1.006401216E1
3.891135600E-2	3.373879790E-1	9.834501147E-1	1.001874828E1	1.007255290E1
4.010734500E-2	3.158525825E-1	9.738788009E-1	1.003549862E1	1.008758818E1
4.130364700E-2	2.967100143E-1	9.762716293E-1	1.003549862E1	1.008723826E1
4.249974100E-2	2.751746178E-1	9.810572863E-1	1.003310490E1	1.008471062E1
4.369573100E-2	2.679961324E-1	9.762716293E-1	1.004028416E1	1.009119587E1
4.489172000E-2	2.584248483E-1	9.762716293E-1	1.004028416E1	1.009094622E1
4.608802200E-2	2.344966233E-1	9.762716293E-1	1.002592659E1	1.007607557E1
4.728411600E-2	2.081755698E-1	9.643075466E-1	1.001156998E1	1.006005763E1
4.848010600E-2	1.890329868E-1	9.619147182E-1	1.000439167E1	1.005230651E1
4.967609500E-2	1.866401732E-1	9.643075466E-1	9.992427826E0	1.004058452E1
5.087239700E-2	1.866401732E-1	9.619147182E-1	9.985248566E0	1.003321002E1
5.206849100E-2	1.818545163E-1	9.547362328E-1	9.975677490E0	1.002291044E1
5.326448100E-2	1.770688742E-1	9.308080077E-1	9.958928108E0	1.000389954E1
5.446047000E-2	1.722832322E-1	9.140582681E-1	9.939785004E0	9.983211405E0
5.565677200E-2	1.698904037E-1	9.164510965E-1	9.925428391E0	9.969095952E0
5.685286600E-2	1.746760458E-1	9.092726111E-1	9.918250084E0	9.961374058E0
5.804885600E-2	1.866401732E-1	8.925228715E-1	9.899106979E0	9.941013561E0
5.924484500E-2	1.914258152E-1	8.733802438E-1	9.875179291E0	9.915573756E0
6.044114700E-2	1.890329868E-1	8.566305041E-1	9.851250648E0	9.890231981E0
6.163724100E-2	1.866401732E-1	8.494520187E-1	9.832108498E0	9.870499521E0
6.283323100E-2	1.866401732E-1	8.470591903E-1	9.803394318E0	9.841691113E0
6.402922000E-2	2.057827413E-1	8.374879360E-1	9.769894600E0	9.807883211E0
6.522552200E-2	2.201396823E-1	8.183453679E-1	9.741181374E0	9.777973470E0
6.642161600E-2	2.177468538E-1	7.992027402E-1	9.710074425E0	9.745341659E0
6.761771000E-2	2.249253243E-1	7.896314859E-1	9.688538551E0	9.723265323E0
6.881369900E-2	2.464607358E-1	7.824530005E-1	9.674181938E0	9.708901677E0
7.000968900E-2	2.608176768E-1	7.800601721E-1	9.657432556E0	9.692395128E0
7.120599100E-2	2.775674164E-1	7.920243144E-1	9.635896683E0	9.672375668E0
7.240208500E-2	2.775674164E-1	8.039883971E-1	9.616754532E0	9.654294834E0
7.359817900E-2	2.703889608E-1	8.111668825E-1	9.600004196E0	9.638007183E0
7.479416800E-2	2.703889608E-1	8.207381964E-1	9.578469276E0	9.617369446E0
7.599015800E-2	2.703889608E-1	8.231309652E-1	9.554540634E0	9.593742831E0
7.718646000E-2	2.799602449E-1	8.207381964E-1	9.530612946E0	9.569982865E0
7.838255400E-2	2.967100143E-1	8.207381964E-1	9.516255379E0	9.556189850E0
7.957854300E-2	3.086741269E-1	8.231309652E-1	9.509077072E0	9.549626750E0
8.077453300E-2	3.182454109E-1	8.255237937E-1	9.501898766E0	9.543000043E0
8.197083500E-2	3.158525825E-1	8.327022791E-1	9.497113228E0	9.538779566E0
8.316692900E-2	3.014956415E-1	8.398807645E-1	9.494720459E0	9.536562059E0
8.436291800E-2	3.014956415E-1	8.494520187E-1	9.494720459E0	9.537409761E0
8.555890800E-2	3.134597540E-1	8.566305041E-1	9.504291534E0	9.547964726E0
8.675521000E-2	3.230310678E-1	8.566305041E-1	9.513862610E0	9.557810767E0
8.795130400E-2	3.086741269E-1	8.638089895E-1	9.516255379E0	9.560364121E0
8.914729300E-2	3.014956415E-1	8.853443861E-1	9.521040916E0	9.566867535E0
9.034328300E-2	2.991028428E-1	9.140582681E-1	9.525827408E0	9.574254688E0
9.153958500E-2	2.919243574E-1	9.379864931E-1	9.535398483E0	9.585867865E0
9.273567900E-2	2.967100143E-1	9.475577474E-1	9.552147865E0	9.603615536E0
9.393166800E-2	2.967100143E-1	9.595218897E-1	9.564111710E0	9.616701715E0
9.512765800E-2	2.967100143E-1	9.762716293E-1	9.571290970E0	9.625526165E0
9.632396000E-2	3.038884699E-1	9.858429432E-1	9.576076508E0	9.631483572E0
9.752005400E-2	3.110669553E-1	9.978070259E-1	9.585647583E0	9.642459287E0
9.871604300E-2	3.206382394E-1	1.009771109E0	9.609575272E0	9.667801377E0
9.991203300E-2	3.230310678E-1	1.007378340E0	9.631111145E0	9.689038243E0
1.011083350E-1	3.086741269E-1	1.012163997E0	9.645467758E0	9.703339835E0
1.023044290E-1	2.967100143E-1	1.019342422E0	9.655039787E0	9.713232680E0
1.035004180E-1	2.919243574E-1	1.012163997E0	9.657432556E0	9.714715609E0
1.046964080E-1	2.847459018E-1	1.004985452E0	9.657432556E0	9.713757232E0
1.059165120E-1	2.560320199E-1	1.014556766E0	9.664610863E0	9.721089494E0
1.071365120E-1	2.488535494E-1	1.016949654E0	9.674181938E0	9.730668572E0
1.083565120E-1	2.416750938E-1	1.024128079E0	9.674181938E0	9.731240483E0
1.095765120E-1	2.321037948E-1	1.026520967E0	9.667003632E0	9.724123440E0
1.107965120E-1	2.344966233E-1	1.019342422E0	9.671789169E0	9.728183457E0
1.120165120E-1	2.440679073E-1	1.019342422E0	9.678967476E0	9.735555429E0
1.132365120E-1	2.416750938E-1	1.024128079E0	9.686145782E0	9.743134264E0
1.144565120E-1	2.321037948E-1	1.021735311E0	9.700503349E0	9.756924743E0
1.156765120E-1	2.249253243E-1	1.014556766E0	9.707681656E0	9.763144983E0
1.168965120E-1	2.273181528E-1	1.016949654E0	9.707681656E0	9.763449353E0
1.181165120E-1	2.344966233E-1	1.014556766E0	9.724431038E0	9.780024187E0
1.193365120E-1	2.344966233E-1	1.002592683E0	9.755537987E0	9.809724877E0
1.205565120E-1	2.297109663E-1	9.906286001E-1	9.796216011E0	9.848855786E0
1.217765120E-1	2.321037948E-1	9.786644578E-1	9.824930191E0	9.876280147E0
1.229965120E-1	2.249253243E-1	9.714859724E-1	9.853643417E0	9.903972183E0
1.242165120E-1	2.153540403E-1	9.595218897E-1	9.889535904E0	9.938308710E0
1.254365120E-1	2.129612118E-1	9.523434043E-1	9.923035622E0	9.970904993E0
1.266565120E-1	2.033899277E-1	9.403793216E-1	9.944570541E0	9.991004153E0
1.278765120E-1	2.033899277E-1	9.284151793E-1	9.956535339E0	1.000179575E1
1.290965120E-1	2.033899277E-1	9.308080077E-1	9.966106415E0	1.001154574E1
1.303165120E-1	1.938186288E-1	9.308080077E-1	9.975677490E0	1.002088372E1
1.315365120E-1	1.914258152E-1	9.308080077E-1	9.982855797E0	1.002798371E1
1.327565120E-1	1.938186288E-1	9.379864931E-1	9.978070259E0	1.002393488E1
1.339765120E-1	2.033899277E-1	9.403793216E-1	9.975677490E0	1.002196698E1
1.351965120E-1	2.177468538E-1	9.499505758E-1	9.985248566E0	1.003269698E1
1.364165120E-1	2.201396823E-1	9.643075466E-1	9.980463028E0	1.002935655E1
1.376365120E-1	2.344966233E-1	9.714859724E-1	9.963713646E0	1.001370877E1
1.388565120E-1	2.488535494E-1	9.786644578E-1	9.951749802E0	1.000285141E1
1.400765120E-1	2.560320199E-1	9.834501147E-1	9.942177773E0	9.993979457E0
1.412965120E-1	2.656033039E-1	9.954141974E-1	9.939785004E0	9.993033596E0
1.425165120E-1	2.751746178E-1	1.007378340E0	9.927821159E0	9.982593108E0
1.437365120E-1	2.847459018E-1	1.019342422E0	9.913464546E0	9.969800325E0
1.449565120E-1	2.799602449E-1	1.024128079E0	9.899106979E0	9.955879421E0
1.461765120E-1	2.751746178E-1	1.021735311E0	9.889535904E0	9.945983336E0
1.473965120E-1	2.823530734E-1	1.019342422E0	9.877572060E0	9.934043086E0
1.486165120E-1	2.847459018E-1	1.014556766E0	9.860821724E0	9.916965803E0
1.498365120E-1	2.751746178E-1	1.012163997E0	9.846465111E0	9.902175125E0
1.510565120E-1	2.656033039E-1	1.009771109E0	9.824930191E0	9.880254858E0
1.522765120E-1	2.679961324E-1	1.012163997E0	9.812965393E0	9.868666966E0
1.534965120E-1	2.656033039E-1	1.026520967E0	9.810572624E0	9.867706199E0
1.547165120E-1	2.584248483E-1	1.026520967E0	9.796216011E0	9.853241945E0
1.559365120E-1	2.560320199E-1	1.014556766E0	9.781859398E0	9.837664921E0
1.571565120E-1	2.560320199E-1	1.007378340E0	9.781859398E0	9.836927203E0
1.583765120E-1	2.488535494E-1	1.004985452E0	9.779465675E0	9.834117792E0
1.595965120E-1	2.392822653E-1	1.007378340E0	9.769894600E0	9.824607250E0
1.608165120E-1	2.368894368E-1	1.007378340E0	9.765109062E0	9.819790360E0
1.620365120E-1	2.368894368E-1	1.009771109E0	9.760323524E0	9.815277357E0
1.632565120E-1	2.321037948E-1	1.012163997E0	9.762716293E0	9.817788832E0
1.644765120E-1	2.273181528E-1	1.014556766E0	9.760323524E0	9.815544523E0
1.656965120E-1	2.368894368E-1	1.019342422E0	9.757930756E0	9.813887518E0
1.668929700E-1	2.536391914E-1	1.014556766E0	9.757930756E0	9.813810213E0
1.680894290E-1	2.584248483E-1	1.002592683E0	9.769894600E0	9.824602587E0
1.692856790E-1	2.703889608E-1	1.000199914E0	9.784252167E0	9.838958305E0
1.704817720E-1	2.751746178E-1	1.002592683E0	9.791430473E0	9.846472661E0
1.716778660E-1	2.751746178E-1	1.002592683E0	9.801001549E0	9.855990286E0
1.728739600E-1	2.847459018E-1	1.002592683E0	9.810572624E0	9.865779621E0
1.740700540E-1	2.991028428E-1	9.978070259E-1	9.820143700E0	9.875236891E0
1.752660430E-1	2.967100143E-1	1.000199914E0	9.834501266E0	9.889684113E0
1.764620330E-1	2.799602449E-1	9.954141974E-1	9.848857880E0	9.902990897E0
1.776583350E-1	2.656033039E-1	9.930213690E-1	9.853643417E0	9.907114875E0
1.788544290E-1	2.512463629E-1	9.978070259E-1	9.848857880E0	9.902461569E0
1.800505220E-1	2.440679073E-1	1.000199914E0	9.851250648E0	9.904903248E0
1.812466160E-1	2.440679073E-1	1.000199914E0	9.865608215E0	9.919183155E0
1.824427100E-1	2.464607358E-1	1.002592683E0	9.877572060E0	9.931382823E0
1.836388040E-1	2.416750938E-1	9.954141974E-1	9.887143135E0	9.940063161E0
1.848347930E-1	2.440679073E-1	9.882357717E-1	9.896714211E0	9.948926135E0
1.860307830E-1	2.512463629E-1	9.978070259E-1	9.911071777E0	9.964340790E0
1.872270850E-1	2.440679073E-1	9.930213690E-1	9.923035622E0	9.975585022E0
1.884231790E-1	2.416750938E-1	9.858429432E-1	9.925428391E0	9.977195092E0
1.896192720E-1	2.488535494E-1	9.906286001E-1	9.927821159E0	9.980225753E0
1.908153660E-1	2.488535494E-1	9.906286001E-1	9.932606697E0	9.984986175E0
1.920114600E-1	2.488535494E-1	9.906286001E-1	9.939785004E0	9.992126852E0
1.932075540E-1	2.416750938E-1	9.930213690E-1	9.939785004E0	9.992188159E0
1.944036470E-1	2.344966233E-1	1.002592683E0	9.939785004E0	9.992972865E0
1.955997410E-1	2.321037948E-1	1.012163997E0	9.937392235E0	9.991502017E0
1.967958350E-1	2.273181528E-1	1.002592683E0	9.923035622E0	9.976146630E0
1.979919290E-1	2.177468538E-1	9.882357717E-1	9.918250084E0	9.969739634E0
1.991880220E-1	2.153540403E-1	9.954141974E-1	9.915857315E0	9.968021523E0
2.003840120E-1	2.081755698E-1	1.009771109E0	9.901499748E0	9.955032497E0
2.015800020E-1	2.009970993E-1	1.009771109E0	9.899106979E0	9.952505037E0
2.027763040E-1	1.986042857E-1	1.021735311E0	9.901499748E0	9.956057652E0
2.039723970E-1	1.938186288E-1	1.031306505E0	9.899106979E0	9.954570697E0
2.051684910E-1	1.962114573E-1	1.033699393E0	9.896714211E0	9.952486400E0
2.063645850E-1	1.962114573E-1	1.043270707E0	9.901499748E0	9.958243317E0
2.075606790E-1	2.009970993E-1	1.040877819E0	9.899106979E0	9.955709189E0
2.087566680E-1	2.129612118E-1	1.031306505E0	9.894321442E0	9.950203132E0
2.099526580E-1	2.225325108E-1	1.021735311E0	9.884750366E0	9.939907121E0
2.111489600E-1	2.273181528E-1	1.021735311E0	9.868000984E0	9.923359311E0
2.123451060E-1	2.321037948E-1	1.024128079E0	9.858428955E0	9.914198503E0
2.135411470E-1	2.464607358E-1	1.024128079E0	9.856036186E0	9.912165784E0
2.147372410E-1	2.440679073E-1	1.024128079E0	9.851250648E0	9.907348122E0
2.159333350E-1	2.416750938E-1	1.033699393E0	9.834501266E0	9.891630626E0
2.171294290E-1	2.656033039E-1	1.038485050E0	9.815358162E0	9.873715216E0
2.183254180E-1	2.919243574E-1	1.028913736E0	9.803394318E0	9.861562932E0
2.195214080E-1	3.038884699E-1	1.019342422E0	9.789037704E0	9.846657624E0
2.207177100E-1	3.014956415E-1	1.002592683E0	9.774680138E0	9.830588156E0
2.219138040E-1	3.062812984E-1	9.906286001E-1	9.760323524E0	9.815246740E0
2.231098970E-1	3.062812984E-1	9.882357717E-1	9.748359680E0	9.803108417E0
2.243059910E-1	2.991028428E-1	9.954141974E-1	9.736394882E0	9.791715745E0
2.255020850E-1	3.014956415E-1	1.004985452E0	9.729216576E0	9.785629799E0
2.266981790E-1	3.158525825E-1	1.014556766E0	9.724431038E0	9.782312983E0
2.278942720E-1	3.278166950E-1	1.009771109E0	9.710074425E0	9.767939742E0
2.290903660E-1	3.302095234E-1	9.954141974E-1	9.693324089E0	9.749893315E0
2.302864600E-1	3.278166950E-1	9.954141974E-1	9.695717812E0	9.752192425E0
2.314825540E-1	3.254238665E-1	1.002592683E0	9.707681656E0	9.764741467E0
2.326786470E-1	3.254238665E-1	1.002592683E0	9.717252731E0	9.774256669E0
2.338747410E-1	3.230310678E-1	1.000199914E0	9.722038269E0	9.778689945E0
2.350708350E-1	3.206382394E-1	1.012163997E0	9.731609344E0	9.789356734E0
2.362669290E-1	2.991028428E-1	1.019342422E0	9.748359680E0	9.806071483E0
2.374630220E-1	2.847459018E-1	1.012163997E0	9.750752449E0	9.807279414E0
2.386591160E-1	2.871387303E-1	1.002592683E0	9.748359680E0	9.803986801E0
2.398552100E-1	2.751746178E-1	9.930213690E-1	9.755537987E0	9.809808047E0
2.410513040E-1	2.560320199E-1	9.906286001E-1	9.757930756E0	9.811427524E0
2.422473970E-1	2.488535494E-1	1.000199914E0	9.762716293E0	9.816972924E0
2.434434910E-1	2.536391914E-1	1.014556766E0	9.777072906E0	9.832843581E0
2.446395850E-1	2.488535494E-1	1.019342422E0	9.789037704E0	9.845112810E0
2.458356790E-1	2.536391914E-1	1.016949654E0	9.815358162E0	9.871158761E0
2.470317720E-1	2.608176768E-1	1.012163997E0	9.844072342E0	9.899407158E0
2.482278660E-1	2.656033039E-1	1.012163997E0	9.860821724E0	9.916190102E0
2.494239600E-1	2.584248483E-1	1.014556766E0	9.872786522E0	9.928142955E0
2.506200540E-1	2.536391914E-1	1.016949654E0	9.899106979E0	9.954438127E0
2.518161470E-1	2.560320199E-1	1.024128079E0	9.915857315E0	9.971891346E0
2.530122410E-1	2.536391914E-1	1.033699393E0	9.920642853E0	9.977575952E0
2.542083350E-1	2.536391914E-1	1.045663476E0	9.927821159E0	9.985959038E0
2.554044290E-1	2.560320199E-1	1.050449133E0	9.934999466E0	9.993658497E0
2.566005220E-1	2.512463629E-1	1.057627559E0	9.934999466E0	9.994294131E0
2.577966160E-1	2.464607358E-1	1.060020447E0	9.934999466E0	9.994428479E0
2.589927100E-1	2.416750938E-1	1.048056364E0	9.946963310E0	1.000494418E1
2.601888040E-1	2.440679073E-1	1.043270707E0	9.958928108E0	1.001639815E1
2.613848970E-1	2.464607358E-1	1.043270707E0	9.968499184E0	1.002597290E1
2.625809910E-1	2.464607358E-1	1.040877819E0	9.973284721E0	1.003048242E1
2.637770850E-1	2.392822653E-1	1.038485050E0	9.987641335E0	1.004433605E1
2.649731790E-1	2.225325108E-1	1.033699393E0	9.997213364E0	1.005297619E1
2.661692720E-1	2.201396823E-1	1.028913736E0	9.985248566E0	1.004053355E1
2.673653660E-1	2.177468538E-1	1.014556766E0	9.973284721E0	1.002712059E1
2.685614600E-1	2.105683982E-1	1.007378340E0	9.970891953E0	1.002386335E1
2.697575540E-1	2.081755698E-1	1.000199914E0	9.968499184E0	1.002071419E1
