"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.036027600E-2	4.642075896E-1	1.531406522E0	9.425328255E0	9.560204356E0
3.155616200E-2	5.192425251E-1	1.490728498E0	9.482755661E0	9.613248108E0
3.275204700E-2	5.264210105E-1	1.488335729E0	9.535398483E0	9.665199768E0
3.394788000E-2	5.240281820E-1	1.500299811E0	9.576076508E0	9.707046221E0
3.514418300E-2	5.264210105E-1	1.512263894E0	9.604789734E0	9.737353182E0
3.633965100E-2	5.240281820E-1	1.526620865E0	9.640682220E0	9.774862172E0
3.753553700E-2	5.503492355E-1	1.531406522E0	9.683753014E0	9.819529655E0
3.873137000E-2	6.269195080E-1	1.514656782E0	9.748359680E0	9.885227852E0
3.992725500E-2	6.771687865E-1	1.505085468E0	9.798608780E0	9.936627891E0
4.112314100E-2	6.580262184E-1	1.519442320E0	9.834501266E0	9.972919263E0
4.231897400E-2	6.077769399E-1	1.540977836E0	9.863214493E0	1.000135019E1
4.351486000E-2	5.551348329E-1	1.560120344E0	9.891928673E0	1.002957641E1
4.471074500E-2	5.096712112E-1	1.579262972E0	9.930213928E0	1.006791860E1
4.590663000E-2	4.785645306E-1	1.586441398E0	9.966106415E0	1.010292519E1
4.710246400E-2	4.474578202E-1	1.581655741E0	9.997213364E0	1.013144256E1
4.829834900E-2	4.307080805E-1	1.569691658E0	1.003071213E1	1.016192045E1
4.949423500E-2	4.211367965E-1	1.540977836E0	1.006421185E1	1.019020750E1
5.069012000E-2	4.019941986E-1	1.507478237E0	1.010488987E1	1.022462172E1
5.188595300E-2	3.852444589E-1	1.485942841E0	1.013838959E1	1.025394475E1
5.308183900E-2	3.804588020E-1	1.462014675E0	1.014796066E1	1.025979247E1
5.427772400E-2	3.804588020E-1	1.426122308E0	1.015035343E1	1.025710722E1
5.547355800E-2	3.756731451E-1	1.404586911E0	1.014317513E1	1.024685300E1
5.666944300E-2	3.589234054E-1	1.395015597E0	1.012881851E1	1.023073111E1
