"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.847121800E-2	2.799602449E-1	-4.785645381E-2	9.777072906E0	9.781197401E0
3.966715500E-2	2.871387303E-1	-2.392822690E-2	9.786644936E0	9.790885573E0
4.086309300E-2	2.919243574E-1	-4.785645287E-3	9.793823242E0	9.798174138E0
4.205903000E-2	2.967100143E-1	-4.785645287E-3	9.820143700E0	9.824626304E0
4.325496800E-2	2.919243574E-1	-1.674975827E-2	9.858428955E0	9.862764412E0
4.445095700E-2	2.847459018E-1	-2.871387079E-2	9.899106979E0	9.903243090E0
4.564689500E-2	2.823530734E-1	-2.392822690E-2	9.934999466E0	9.939039702E0
4.684283200E-2	2.823530734E-1	-1.435693540E-2	9.956535339E0	9.960548446E0
4.803877000E-2	2.799602449E-1	-4.785645287E-3	9.973284721E0	9.977214480E0
4.923475900E-2	2.871387303E-1	0.000000000E0	9.980463028E0	9.984592676E0
5.043069700E-2	3.038884699E-1	7.178467698E-3	9.980463028E0	9.985090985E0
5.162663400E-2	3.182454109E-1	1.914258115E-2	9.980463028E0	9.985554007E0
5.282257200E-2	3.254238665E-1	2.153540403E-2	9.968499184E0	9.973832786E0
5.401856100E-2	3.278166950E-1	2.392822690E-2	9.954142570E0	9.959567795E0
5.521449900E-2	3.349951804E-1	2.632104978E-2	9.944570541E0	9.950246119E0
5.641043600E-2	3.373879790E-1	3.828516230E-2	9.937392235E0	9.943191682E0
5.760637400E-2	3.445664644E-1	5.982056633E-2	9.925428391E0	9.931587652E0
5.880231100E-2	3.469592929E-1	6.699903309E-2	9.908679008E0	9.914978029E0
5.999830100E-2	3.517449200E-1	5.742774159E-2	9.891928673E0	9.898347099E0
6.119423900E-2	3.780659735E-1	3.589234129E-2	9.863214493E0	9.870522898E0
6.239017600E-2	4.019941986E-1	2.153540403E-2	9.834501266E0	9.842737336E0
6.358611400E-2	4.139583111E-1	7.178467698E-3	9.817750931E0	9.826476803E0
6.478205100E-2	4.259224236E-1	-1.674975827E-2	9.815358162E0	9.824609219E0
6.597798900E-2	4.546363056E-1	-3.828516230E-2	9.815358162E0	9.825956227E0
6.717392600E-2	4.857429862E-1	-4.067798331E-2	9.810572624E0	9.822674593E0
6.836991600E-2	5.072783828E-1	-3.349951655E-2	9.812965393E0	9.826125553E0
6.956585300E-2	5.335994363E-1	-3.828516230E-2	9.822537422E0	9.837094872E0
7.076179100E-2	5.742774606E-1	-4.546362907E-2	9.846465111E0	9.863302526E0
7.195772800E-2	6.125625968E-1	-5.024927482E-2	9.872786522E0	9.891899293E0
7.315366600E-2	6.364908218E-1	-5.024927482E-2	9.894321442E0	9.914900017E0
7.434965500E-2	6.580262184E-1	-4.546362907E-2	9.925428391E0	9.947320955E0
7.554559300E-2	6.915257573E-1	-3.589234129E-2	9.956535339E0	9.980585759E0
7.674153000E-2	7.250252366E-1	-3.110669367E-2	9.987641335E0	1.001397067E1
7.793746800E-2	7.513462901E-1	-2.871387079E-2	1.002831936E1	1.005646732E1
7.913345700E-2	7.752745152E-1	-2.392822690E-2	1.007139015E1	1.010121392E1
8.032939500E-2	7.872386575E-1	-1.914258115E-2	1.009292603E1	1.012359950E1
8.152533200E-2	7.968099117E-1	-1.196411345E-2	1.010488987E1	1.013626403E1
8.272127000E-2	8.207381964E-1	-4.785645287E-3	1.011924744E1	1.015247767E1
8.391720700E-2	8.614161611E-1	-1.196411345E-2	1.012642574E1	1.016300543E1
8.511319700E-2	8.949156404E-1	-1.674975827E-2	1.012881851E1	1.016828988E1
8.630913400E-2	9.116654396E-1	-2.392822690E-2	1.010967541E1	1.015072624E1
8.750507200E-2	9.308080077E-1	-2.871387079E-2	1.007856941E1	1.012150134E1
8.870100900E-2	9.475577474E-1	-2.632104978E-2	1.004746246E1	1.009207909E1
8.989694700E-2	9.762716293E-1	-1.674975827E-2	9.997213364E0	1.004478282E1
9.109293600E-2	1.009771109E0	-1.674975827E-2	9.944570541E0	9.995719159E0
9.228887400E-2	1.033699393E0	-1.914258115E-2	9.896714211E0	9.950570488E0
9.348481100E-2	1.045663476E0	-1.435693540E-2	9.844072342E0	9.899463546E0
9.468074900E-2	1.043270707E0	-1.435693540E-2	9.789037704E0	9.844484703E0
9.587668600E-2	1.055234790E0	-9.571290575E-3	9.731609344E0	9.788658361E0
9.707262400E-2	1.071984529E0	-1.196411345E-2	9.667003632E0	9.726266148E0
9.826856100E-2	1.076770186E0	-1.435693540E-2	9.604789734E0	9.664969011E0
9.946455100E-2	1.081555843E0	-2.392822644E-3	9.556933403E0	9.617938700E0
1.006604890E-1	1.076770186E0	1.196411345E-2	9.518648148E0	9.579365309E0
1.018564260E-1	1.064806104E0	1.196411345E-2	9.470791817E0	9.530469706E0
1.030523640E-1	1.060020447E0	2.392822644E-3	9.439684868E0	9.499015711E0
1.042483530E-1	1.052842021E0	-1.196411345E-2	9.430113792E0	9.488712536E0
1.054442910E-1	1.033699393E0	-2.632104978E-2	9.418149948E0	9.474744096E0
1.066402280E-1	1.012163997E0	-3.349951655E-2	9.413364410E0	9.467683333E0
1.078361660E-1	9.882357717E-1	-4.546362907E-2	9.415757179E0	9.467584705E0
1.090321030E-1	1.033699393E0	-9.571290761E-2	9.384650230E0	9.441893631E0
1.102280930E-1	1.150947690E0	-1.746760458E-1	9.305686951E0	9.378219550E0
1.114240300E-1	1.241874933E0	-2.249253243E-1	9.231510162E0	9.317382928E0
1.126199680E-1	1.275374413E0	-2.321037948E-1	9.217152596E0	9.307865171E0
1.138159050E-1	1.261017561E0	-2.392822653E-1	9.238688469E0	9.327421183E0
1.150118950E-1	1.205982566E0	-2.488535494E-1	9.274580956E0	9.355969962E0
1.162078320E-1	1.127019525E0	-2.464607358E-1	9.339186668E0	9.410171281E0
1.174037700E-1	1.043270707E0	-2.416750938E-1	9.432506561E0	9.493102793E0
1.185997070E-1	9.643075466E-1	-2.368894368E-1	9.525827408E0	9.577441906E0
1.197956450E-1	8.781659007E-1	-2.392822653E-1	9.602396965E0	9.645437202E0
1.209915820E-1	7.800601721E-1	-2.392822653E-1	9.655039787E0	9.689455257E0
1.221875200E-1	6.915257573E-1	-2.321037948E-1	9.698110580E0	9.725504042E0
1.233834570E-1	6.125625968E-1	-2.321037948E-1	9.741181374E0	9.763181841E0
1.245794470E-1	5.431707501E-1	-2.416750938E-1	9.774680138E0	9.792742880E0
1.257753840E-1	4.809573591E-1	-2.416750938E-1	9.801001549E0	9.815770891E0
1.269713220E-1	4.307080805E-1	-2.321037948E-1	9.832108498E0	9.844274434E0
1.281672590E-1	3.708875179E-1	-2.177468538E-1	9.853643417E0	9.863024883E0
1.293632490E-1	3.134597540E-1	-1.986042857E-1	9.853643417E0	9.860628239E0
1.305591860E-1	2.823530734E-1	-1.914258152E-1	9.844072342E0	9.849981085E0
1.317551240E-1	2.560320199E-1	-1.890329868E-1	9.834501266E0	9.839649436E0
1.329510610E-1	2.297109663E-1	-1.770688742E-1	9.832108498E0	9.836385415E0
1.341469990E-1	2.153540403E-1	-1.603191197E-1	9.824930191E0	9.828597705E0
1.353429890E-1	2.153540403E-1	-1.316052526E-1	9.812965393E0	9.816210425E0
1.365389260E-1	2.153540403E-1	-1.028913707E-1	9.808179855E0	9.811083328E0
1.377348640E-1	2.201396823E-1	-9.332008660E-2	9.812965393E0	9.815877950E0
1.389308010E-1	2.321037948E-1	-7.896314561E-2	9.812965393E0	9.816027565E0
1.401267390E-1	2.416750938E-1	-6.939185411E-2	9.810572624E0	9.813794235E0
1.413226760E-1	2.464607358E-1	-6.939185411E-2	9.808179855E0	9.811521299E0
1.425186140E-1	2.608176768E-1	-6.939185411E-2	9.820143700E0	9.823851758E0
1.437146030E-1	2.703889608E-1	-5.503492057E-2	9.846465111E0	9.850330665E0
1.449105410E-1	2.775674164E-1	-4.546362907E-2	9.870393753E0	9.874400410E0
