"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7,089906940E-1	5,551348329E-1	3,110669553E-1	9,714859962E0	9,735678786E0
7,101865790E-1	5,575276613E-1	3,134597540E-1	9,707681656E0	9,728729477E0
7,113825170E-1	5,527420044E-1	3,158525825E-1	9,707681656E0	9,728533790E0
7,125784540E-1	5,479564071E-1	3,182454109E-1	9,702896118E0	9,723565675E0
7,137743400E-1	5,670989752E-1	3,254238665E-1	9,707681656E0	9,729675486E0
7,149702770E-1	5,886343718E-1	3,278166950E-1	9,712467194E0	9,735808811E0
7,161661630E-1	5,838487148E-1	3,302095234E-1	9,714859962E0	9,737988588E0
7,173621000E-1	5,862415433E-1	3,278166950E-1	9,712467194E0	9,735664431E0
7,185580380E-1	5,958128572E-1	3,206382394E-1	9,707681656E0	9,731232449E0
7,197539230E-1	6,029912829E-1	3,062812984E-1	9,712467194E0	9,735986119E0
7,209498600E-1	6,125625968E-1	2,967100143E-1	9,717252731E0	9,741061052E0
7,221457460E-1	6,197410822E-1	2,991028428E-1	9,714859962E0	9,739201487E0
7,233416830E-1	6,269195080E-1	2,919243574E-1	9,722038269E0	9,746603306E0
7,245376210E-1	6,340979934E-1	2,799602449E-1	9,745966911E0	9,770584887E0
7,257335060E-1	6,269195080E-1	2,679961324E-1	9,757930756E0	9,781720842E0
7,269294440E-1	6,197410822E-1	2,632105052E-1	9,748359680E0	9,771585093E0
7,281253810E-1	6,269195080E-1	2,632105052E-1	9,750752449E0	9,774429966E0
7,293212670E-1	6,340979934E-1	2,608176768E-1	9,760323524E0	9,784376394E0
7,305172040E-1	6,412764788E-1	2,584248483E-1	9,772287369E0	9,796714722E0
7,317130900E-1	6,460621357E-1	2,632105052E-1	9,774680138E0	9,799543247E0
7,329090270E-1	6,556333899E-1	2,703889608E-1	9,762716293E0	9,788441896E0
7,341049130E-1	6,604190469E-1	2,799602449E-1	9,762716293E0	9,789032663E0
7,353008500E-1	6,699903607E-1	2,823530734E-1	9,760323524E0	9,787365613E0
7,364967880E-1	6,747759581E-1	2,823530734E-1	9,753145218E0	9,780536156E0
7,376926730E-1	6,867401004E-1	2,871387303E-1	9,748359680E0	9,776736525E0
7,388886100E-1	7,082754970E-1	2,823530734E-1	9,741181374E0	9,770977023E0
7,400844960E-1	7,274180651E-1	2,943171859E-1	9,734002113E0	9,765580208E0
7,412804330E-1	7,465606928E-1	3,134597540E-1	9,719645500E0	9,753313208E0
7,424763710E-1	7,609176040E-1	3,254238665E-1	9,712467194E0	9,747662042E0
7,436722560E-1	7,633104324E-1	3,373879790E-1	9,712467194E0	9,748255867E0
7,448681940E-1	7,680960894E-1	3,373879790E-1	9,707681656E0	9,743863986E0
7,460641310E-1	7,728816867E-1	3,302095234E-1	9,717252731E0	9,753531928E0
7,472600170E-1	7,704889178E-1	3,254238665E-1	9,719645500E0	9,755565720E0
7,484559540E-1	7,657032609E-1	3,182454109E-1	9,710074425E0	9,745415689E0
7,496518400E-1	7,728816867E-1	3,158525825E-1	9,698110580E0	9,733984682E0
7,508477770E-1	7,848458290E-1	3,158525825E-1	9,690931320E0	9,727789866E0
7,520437150E-1	7,824530005E-1	3,086741269E-1	9,698110580E0	9,734519056E0
7,532396000E-1	7,752745152E-1	3,014956415E-1	9,698110580E0	9,733719691E0
7,544355380E-1	7,776673436E-1	2,895315289E-1	9,698110580E0	9,733547341E0
7,556314230E-1	7,848458290E-1	2,847459018E-1	9,705288887E0	9,741134204E0
7,568273600E-1	7,920243144E-1	2,871387303E-1	9,710074425E0	9,746553057E0
7,580232980E-1	7,968099117E-1	2,799602449E-1	9,712467194E0	9,749118050E0
7,592191830E-1	8,015955687E-1	2,679961324E-1	9,712467194E0	9,749174138E0
7,604151210E-1	7,968099117E-1	2,608176768E-1	9,710074425E0	9,746203221E0
7,616110060E-1	7,824530005E-1	2,584248483E-1	9,714859962E0	9,749744622E0
7,628069440E-1	7,728816867E-1	2,632105052E-1	9,717252731E0	9,751493553E0
7,640028810E-1	7,633104324E-1	2,751746178E-1	9,707681656E0	9,741532067E0
7,651987670E-1	7,561319470E-1	2,823530734E-1	9,683753014E0	9,717331486E0
7,663947040E-1	7,513462901E-1	2,895315289E-1	9,657432556E0	9,690941819E0
7,675905900E-1	7,417750359E-1	2,895315289E-1	9,635896683E0	9,668741572E0
7,687865270E-1	7,369893789E-1	2,775674164E-1	9,616754532E0	9,648946302E0
7,699824650E-1	7,465606928E-1	2,632105052E-1	9,604789734E0	9,637355367E0
7,711783500E-1	7,537391186E-1	2,512463629E-1	9,595218658E0	9,628056320E0
7,723742880E-1	7,633104324E-1	2,344966233E-1	9,576076508E0	9,609311774E0
7,735701730E-1	7,776673436E-1	2,201396823E-1	9,554540634E0	9,588663865E0
7,747661100E-1	7,848458290E-1	2,057827413E-1	9,530612946E0	9,565088219E0
7,759620480E-1	7,776673436E-1	1,986042857E-1	9,504291534E0	9,538121814E0
7,771579330E-1	7,728816867E-1	1,962114573E-1	9,501898766E0	9,535298904E0
