"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.732203200E-2	7.896314859E-1	2.392822690E-2	9.987641335E0	1.001883575E1
3.851802200E-2	7.968099117E-1	0.000000000E0	9.999606133E0	1.003130245E1
3.971395900E-2	7.992027402E-1	-7.178467698E-3	1.002831936E1	1.006011758E1
4.090994900E-2	8.039883971E-1	-2.392822644E-3	1.005942631E1	1.009150438E1
4.210593900E-2	8.135597110E-1	0.000000000E0	1.007139015E1	1.010419611E1
4.330187600E-2	8.063812256E-1	0.000000000E0	1.008335495E1	1.011554733E1
4.449786600E-2	7.992027402E-1	7.178467698E-3	1.010249710E1	1.013406257E1
4.569380300E-2	7.992027402E-1	2.632104978E-2	1.011446095E1	1.014602080E1
4.688979300E-2	7.896314859E-1	5.024927482E-2	1.011446095E1	1.014536165E1
4.808578200E-2	7.800601721E-1	7.178468257E-2	1.011446095E1	1.014475072E1
4.928172000E-2	7.800601721E-1	9.332008660E-2	1.011206818E1	1.014254038E1
5.047770900E-2	7.944171429E-1	9.332008660E-2	1.010967541E1	1.014126935E1
5.167369900E-2	8.087740541E-1	1.004985496E-1	1.010728264E1	1.014008766E1
5.286963700E-2	8.231309652E-1	1.172483116E-1	1.010488987E1	1.013903797E1
5.406562600E-2	8.327022791E-1	1.268195957E-1	1.010488987E1	1.013993469E1
5.526156400E-2	8.422735929E-1	1.316052526E-1	1.010010433E1	1.013601757E1
5.645755300E-2	8.662018180E-1	1.339980662E-1	1.009771156E1	1.013568152E1
5.765354300E-2	8.805587292E-1	1.387837082E-1	1.010010433E1	1.013936646E1
5.884948000E-2	8.925228715E-1	1.483550072E-1	1.010010433E1	1.014054800E1
6.004547000E-2	9.044869542E-1	1.555334777E-1	1.009531879E1	1.013694968E1
6.124145900E-2	9.116654396E-1	1.627119333E-1	1.009053326E1	1.013293987E1
6.243739700E-2	9.140582681E-1	1.674975902E-1	1.008335495E1	1.012608537E1
6.363338700E-2	9.236295223E-1	1.794617027E-1	1.007856941E1	1.012239396E1
6.482937600E-2	9.212366939E-1	2.009970993E-1	1.006421185E1	1.010828556E1
6.602531400E-2	9.068797827E-1	2.177468538E-1	1.004506969E1	1.008827388E1
6.722130300E-2	8.949156404E-1	2.249253243E-1	1.002831936E1	1.007068292E1
6.841724100E-2	8.853443861E-1	2.273181528E-1	1.001396275E1	1.005559337E1
6.961323000E-2	8.781659007E-1	2.368894368E-1	1.000199890E1	1.004327008E1
7.080922000E-2	8.757730722E-1	2.560320199E-1	9.990034103E0	1.003161564E1
7.200515700E-2	8.685946465E-1	2.751746178E-1	9.990034103E0	1.003149835E1
7.320114700E-2	8.662018180E-1	2.967100143E-1	9.994820595E0	1.003667182E1
7.439713700E-2	8.805587292E-1	3.182454109E-1	9.992427826E0	1.003619837E1
7.559307400E-2	8.757730722E-1	3.349951804E-1	9.990034103E0	1.003394148E1
7.678906400E-2	8.542376757E-1	3.565305769E-1	9.990034103E0	1.003282699E1
7.798505300E-2	8.446664214E-1	3.852444589E-1	9.990034103E0	1.003307809E1
7.918099100E-2	8.446664214E-1	4.043870270E-1	9.982855797E0	1.002668440E1
8.037698000E-2	8.422735929E-1	4.283152521E-1	9.982855797E0	1.002747668E1
