"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.775990600E-2;8.470591903E-1;4.235295951E-1;9.693324089E0;9.739477321E0
3.895589600E-2;8.279166222E-1;4.259224236E-1;9.659825325E0;9.704590726E0
4.015188500E-2;7.992027402E-1;4.259224236E-1;9.631111145E0;9.673594824E0
4.134792700E-2;7.776673436E-1;4.187439680E-1;9.600004196E0;9.640549444E0
4.254391700E-2;7.657032609E-1;4.139583111E-1;9.554540634E0;9.594108072E0
4.373990600E-2;7.561319470E-1;4.163511395E-1;9.523433685E0;9.562472115E0
4.493589600E-2;7.393822074E-1;4.211367965E-1;9.504291534E0;9.542305792E0
4.613188500E-2;7.106683254E-1;4.283152521E-1;9.480362892E0;9.516605697E0
4.732792700E-2;6.771687865E-1;4.354937077E-1;9.451649666E0;9.485878649E0
4.852396900E-2;6.460621357E-1;4.378865361E-1;9.432506561E0;9.464740933E0
4.971995800E-2;6.293123364E-1;4.450650215E-1;9.422935486E0;9.454407970E0
5.091594800E-2;6.149554253E-1;4.594219327E-1;9.418149948E0;9.449380251E0
5.211199000E-2;6.077769399E-1;4.666004181E-1;9.413364410E0;9.444497778E0
5.330797900E-2;5.982056856E-1;4.689932466E-1;9.408578873E0;9.439235197E0
5.450396900E-2;5.790630579E-1;4.594219327E-1;9.413364410E0;9.442341450E0
5.569995800E-2;5.647061467E-1;4.426721931E-1;9.422935486E0;9.450215070E0
5.689600000E-2;5.575276613E-1;4.211367965E-1;9.418149948E0;9.444032070E0
5.809199000E-2;5.575276613E-1;4.019941986E-1;9.418149948E0;9.443197810E0
5.928797900E-2;5.623133183E-1;3.996013701E-1;9.422935486E0;9.448152766E0
6.048396900E-2;5.670989752E-1;3.924229145E-1;9.425328255E0;9.450524308E0
6.168001000E-2;5.647061467E-1;3.732803464E-1;9.432506561E0;9.456765371E0
6.287600000E-2;5.599204898E-1;3.493520916E-1;9.446864128E0;9.469889107E0
6.407199000E-2;5.623133183E-1;3.421736360E-1;9.456435204E0;9.479316738E0
6.526797900E-2;5.742774606E-1;3.326023519E-1;9.466006279E0;9.489240950E0
6.646407300E-2;5.718846321E-1;3.158525825E-1;9.475577354E0;9.498072493E0
6.766006300E-2;5.503492355E-1;3.038884699E-1;9.487542152E0;9.508348362E0
6.885605200E-2;5.455635786E-1;2.895315289E-1;9.492327690E0;9.512399965E0
7.005204200E-2;5.383850932E-1;2.895315289E-1;9.492327690E0;9.511990958E0
7.124808300E-2;5.264210105E-1;2.943171859E-1;9.504291534E0;9.523407964E0
7.244407300E-2;5.168496966E-1;2.967100143E-1;9.513862610E0;9.532510278E0
7.364006300E-2;5.144568682E-1;3.014956415E-1;9.516255379E0;9.534919083E0
7.483605200E-2;5.192425251E-1;2.943171859E-1;9.528220177E0;9.546895576E0
7.603209400E-2;5.240281820E-1;2.871387303E-1;9.535398483E0;9.554102701E0
7.722808300E-2;5.335994363E-1;2.919243574E-1;9.533005714E0;9.552389551E0
7.842412500E-2;5.407779217E-1;2.967100143E-1;9.535398483E0;9.555328452E0
7.962011500E-2;5.407779217E-1;3.062812984E-1;9.540184021E0;9.560405857E0
8.081610400E-2;5.455635786E-1;3.062812984E-1;9.556933403E0;9.577391290E0
8.201209400E-2;5.575276613E-1;3.038884699E-1;9.578469276E0;9.599492642E0
8.320813500E-2;5.670989752E-1;3.062812984E-1;9.595218658E0;9.616840988E0
8.440412500E-2;5.814558864E-1;3.086741269E-1;9.609575272E0;9.632097776E0
8.560016700E-2;5.910272002E-1;3.182454109E-1;9.623932838E0;9.647314475E0
8.679615600E-2;5.910272002E-1;3.278166950E-1;9.638289452E0;9.661956349E0
8.799214600E-2;5.958128572E-1;3.254238665E-1;9.652647018E0;9.676491519E0
8.918818800E-2;6.125625968E-1;3.206382394E-1;9.667003632E0;9.691697531E0
9.038417700E-2;6.317051649E-1;3.206382394E-1;9.686145782E0;9.712017320E0
9.158016700E-2;6.412764788E-1;3.182454109E-1;9.710074425E0;9.736429582E0
9.277615600E-2;6.364908218E-1;3.110669553E-1;9.741181374E0;9.766908302E0
9.397219800E-2;6.412764788E-1;3.110669553E-1;9.769894600E0;9.795858240E0
9.516818800E-2;6.604190469E-1;3.134597540E-1;9.781859398E0;9.809137761E0
9.636417700E-2;6.699903607E-1;3.062812984E-1;9.784252167E0;9.811946075E0
9.756016700E-2;6.819544435E-1;2.895315289E-1;9.803394318E0;9.831349374E0
9.875620800E-2;6.987041831E-1;2.775674164E-1;9.820143700E0;9.848880824E0
9.995225000E-2;7.130611539E-1;2.751746178E-1;9.822537422E0;9.852229123E0
1.011482400E-1;7.178468108E-1;2.799602449E-1;9.824930191E0;9.855096907E0
1.023442290E-1;7.250252366E-1;2.799602449E-1;9.822537422E0;9.853237069E0
1.035402710E-1;7.369893789E-1;2.799602449E-1;9.810572624E0;9.842198245E0
1.047362600E-1;7.489534616E-1;2.799602449E-1;9.803394318E0;9.835946786E0
1.059322500E-1;7.585247755E-1;2.871387303E-1;9.793823242E0;9.827348685E0
1.071282400E-1;7.633104324E-1;2.919243574E-1;9.779465675E0;9.813552443E0
1.083242810E-1;7.728816867E-1;2.919243574E-1;9.762716293E0;9.797611717E0
1.095202710E-1;7.848458290E-1;2.991028428E-1;9.748359680E0;9.784475558E0
1.107162600E-1;7.800601721E-1;3.110669553E-1;9.738788605E0;9.774930179E0
1.119122500E-1;7.680960894E-1;3.254238665E-1;9.729216576E0;9.764913081E0
1.131082920E-1;7.657032609E-1;3.565305769E-1;9.722038269E0;9.758659931E0
1.143043330E-1;7.633104324E-1;3.900300860E-1;9.707681656E0;9.745452756E0
1.155003230E-1;7.513462901E-1;4.139583111E-1;9.686145782E0;9.724057942E0
1.166963130E-1;7.465606928E-1;4.259224236E-1;9.671789169E0;9.709905690E0
1.178923020E-1;7.561319470E-1;4.331009090E-1;9.667003632E0;9.706197563E0
1.190883440E-1;7.609176040E-1;4.426721931E-1;9.667003632E0;9.707003322E0
1.202843330E-1;7.585247755E-1;4.474578202E-1;9.671789169E0;9.711801278E0
1.214803230E-1;7.633104324E-1;4.474578202E-1;9.674181938E0;9.714559048E0
1.226763130E-1;7.776673436E-1;4.522434771E-1;9.669396400E0;9.711154278E0
1.238723540E-1;7.944171429E-1;4.546363056E-1;9.667003632E0;9.710239543E0
1.250683440E-1;8.039883971E-1;4.498506486E-1;9.659825325E0;9.703658499E0
1.262643850E-1;8.207381964E-1;4.378865361E-1;9.655039787E0;9.699749950E0
1.274603750E-1;8.374879360E-1;4.259224236E-1;9.650253296E0;9.695884933E0
1.286563650E-1;8.470591903E-1;4.139583111E-1;9.640682220E0;9.686672516E0
1.298524060E-1;8.518448472E-1;3.948157430E-1;9.635896683E0;9.681530044E0
1.310483960E-1;8.638089895E-1;3.780659735E-1;9.635896683E0;9.681921541E0
1.322443850E-1;8.662018180E-1;3.541377485E-1;9.621540070E0;9.666941215E0
1.334403750E-1;8.542376757E-1;3.278166950E-1;9.602396965E0;9.645891004E0
1.346364170E-1;8.470591903E-1;3.062812984E-1;9.590433121E0;9.632638525E0
1.358324060E-1;8.398807645E-1;2.967100143E-1;9.588040352E0;9.629327823E0
1.370283960E-1;8.374879360E-1;2.871387303E-1;9.585647583E0;9.626446607E0
1.382243850E-1;8.398807645E-1;2.608176768E-1;9.576076508E0;9.616374932E0
1.394204270E-1;8.350951076E-1;2.512463629E-1;9.568898201E0;9.608554592E0
1.406164690E-1;8.374879360E-1;2.560320199E-1;9.568898201E0;9.608889177E0
1.418124580E-1;8.374879360E-1;2.488535494E-1;9.578469276E0;9.618232052E0
1.430084480E-1;8.303094506E-1;2.273181528E-1;9.583254814E0;9.621842867E0
1.442044900E-1;8.255237937E-1;2.033899277E-1;9.588040352E0;9.625662304E0
1.454004790E-1;8.303094506E-1;1.962114573E-1;9.580862045E0;9.618774883E0
1.465964690E-1;8.350951076E-1;1.986042857E-1;9.571290970E0;9.609705424E0
1.477924580E-1;8.422735929E-1;1.962114573E-1;9.568898201E0;9.607899694E0
1.489884480E-1;8.398807645E-1;1.890329868E-1;9.576076508E0;9.614695754E0
1.501844900E-1;8.350951076E-1;1.842473447E-1;9.578469276E0;9.616569274E0
1.513805310E-1;8.446664214E-1;1.794617027E-1;9.583254814E0;9.622080892E0
1.525765210E-1;8.614161611E-1;1.651047617E-1;9.595218658E0;9.635222804E0
1.537725100E-1;8.685946465E-1;1.674975902E-1;9.604789734E0;9.645439230E0
1.549685000E-1;8.733802438E-1;1.770688742E-1;9.607182503E0;9.648424850E0
1.561644900E-1;8.829515576E-1;1.842473447E-1;9.602396965E0;9.644665780E0
1.573604790E-1;8.997012973E-1;1.938186288E-1;9.616754532E0;9.660693340E0
1.585565210E-1;9.116654396E-1;2.033899277E-1;9.638289452E0;9.683445920E0
1.597525630E-1;9.164510965E-1;2.057827413E-1;9.650253296E0;9.695855704E0
1.609485520E-1;9.188438654E-1;2.105683982E-1;9.659825325E0;9.705711638E0
1.621445940E-1;9.188438654E-1;2.201396823E-1;9.671789169E0;9.717831099E0
1.633405830E-1;9.164510965E-1;2.249253243E-1;9.686145782E0;9.732003603E0
1.645365730E-1;9.116654396E-1;2.249253243E-1;9.698110580E0;9.743463147E0
1.657325630E-1;9.044869542E-1;2.297109663E-1;9.707681656E0;9.752432871E0
1.669286040E-1;8.925228715E-1;2.392822653E-1;9.714859962E0;9.758706736E0
1.681245940E-1;8.805587292E-1;2.536391914E-1;9.717252731E0;9.760364602E0
1.693206350E-1;8.662018180E-1;2.656033039E-1;9.714859962E0;9.757015671E0
1.705166250E-1;8.470591903E-1;2.679961324E-1;9.722038269E0;9.762548812E0
1.717126150E-1;8.159525394E-1;2.703889608E-1;9.741181374E0;9.779033863E0
1.729086040E-1;8.063812256E-1;2.871387303E-1;9.772287369E0;9.809704366E0
1.741046460E-1;8.135597110E-1;2.967100143E-1;9.796216011E0;9.834417338E0
1.753006350E-1;8.159525394E-1;2.991028428E-1;9.812965393E0;9.851372029E0
1.764966250E-1;8.279166222E-1;3.110669553E-1;9.841679573E0;9.881339251E0
1.776926670E-1;8.327022791E-1;3.206382394E-1;9.865608215E0;9.905878428E0
1.788886560E-1;8.374879360E-1;3.349951804E-1;9.870393753E0;9.911522620E0
1.800846460E-1;8.422735929E-1;3.541377485E-1;9.889535904E0;9.931654381E0
1.812806880E-1;8.279166222E-1;3.804588020E-1;9.927821159E0;9.969545015E0
1.824766770E-1;8.135597110E-1;4.019941986E-1;9.958928108E0;1.000018639E1
1.836726670E-1;8.159525394E-1;4.163511395E-1;9.987641335E0;1.002956162E1
1.848687080E-1;8.255237937E-1;4.307080805E-1;1.000917721E1;1.005239411E1
1.860646980E-1;8.350951076E-1;4.450650215E-1;1.003789139E1;1.008239705E1
1.872606880E-1;8.374879360E-1;4.594219327E-1;1.007378292E1;1.011897015E1
1.884567290E-1;8.422735929E-1;4.594219327E-1;1.009053326E1;1.013604236E1
1.896527190E-1;8.638089895E-1;4.426721931E-1;1.010249710E1;1.014901829E1
1.908487080E-1;8.829515576E-1;4.378865361E-1;1.011685371E1;1.016474678E1
1.920446980E-1;8.997012973E-1;4.450650215E-1;1.013360405E1;1.018319578E1
1.932407400E-1;9.164510965E-1;4.474578202E-1;1.015035343E1;1.020145950E1
