"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.663984400E-2	-1.172483116E-1	1.292124242E-1	9.805787086E0	9.807339262E0
3.783573000E-2	-1.387837082E-1	1.172483116E-1	9.868000984E0	9.869673323E0
3.903177200E-2	-1.483550072E-1	1.004985496E-1	9.927821159E0	9.929438158E0
4.022776100E-2	-1.483550072E-1	8.374879509E-2	9.978070259E0	9.979524496E0
4.142375100E-2	-1.435693651E-1	6.939185411E-2	1.002592659E1	1.002719459E1
4.261963600E-2	-1.387837082E-1	6.699903309E-2	1.007617569E1	1.007735413E1
4.381567800E-2	-1.387837082E-1	6.460621208E-2	1.011924744E1	1.012040531E1
4.501166700E-2	-1.244267747E-1	4.785645381E-2	1.015035343E1	1.015122884E1
4.620765700E-2	-1.148554832E-1	2.153540403E-2	1.017428207E1	1.017495313E1
4.740364700E-2	-1.004985496E-1	-1.196411345E-2	1.019581699E1	1.019631930E1
4.859958400E-2	-7.896314561E-2	-3.349951655E-2	1.021735287E1	1.021771290E1
4.979557400E-2	-6.699903309E-2	-4.546362907E-2	1.024128056E1	1.024160062E1
5.099156300E-2	-5.024927482E-2	-7.178468257E-2	1.025085258E1	1.025122708E1
5.218755300E-2	-3.349951655E-2	-8.853443712E-2	1.024367332E1	1.024411069E1
5.338349000E-2	-1.674975827E-2	-1.076770201E-1	1.022692394E1	1.022750450E1
5.457948000E-2	-2.392822644E-3	-1.339980662E-1	1.021735287E1	1.021823179E1
5.577546900E-2	1.435693540E-2	-1.507478207E-1	1.020778179E1	1.020890494E1
5.697145900E-2	1.914258115E-2	-1.579262912E-1	1.019342422E1	1.019466550E1
5.816734400E-2	3.349951655E-2	-1.627119333E-1	1.018385315E1	1.018520802E1
5.936338600E-2	5.264209956E-2	-1.579262912E-1	1.018624592E1	1.018760609E1
6.055937600E-2	5.503492057E-2	-1.435693651E-1	1.018385315E1	1.018501379E1
6.175536500E-2	5.264209956E-2	-1.292124242E-1	1.017667484E1	1.017763125E1
6.295135500E-2	5.503492057E-2	-1.220339537E-1	1.016471100E1	1.016559250E1
6.414729200E-2	4.546362907E-2	-1.196411327E-1	1.013838959E1	1.013919742E1
6.534328200E-2	3.589234129E-2	-1.004985496E-1	1.012164021E1	1.012220276E1
6.653927200E-2	3.110669367E-2	-7.417750359E-2	1.011924744E1	1.011956712E1
6.773526100E-2	1.196411345E-2	-6.699903309E-2	1.012403297E1	1.012426173E1
6.893119900E-2	-4.785645287E-3	-6.699903309E-2	1.012164021E1	1.012186308E1
7.012718800E-2	-7.178467698E-3	-5.742774159E-2	1.010249710E1	1.010266287E1
7.132317800E-2	-4.785645287E-3	-4.785645381E-2	1.006899738E1	1.006911225E1
7.251916700E-2	1.196411345E-2	-2.392822690E-2	1.002831936E1	1.002835504E1
7.371515700E-2	2.392822690E-2	0.000000000E0	9.982855797E0	9.982884474E0
7.491109400E-2	4.546362907E-2	7.178467698E-3	9.932606697E0	9.932713339E0
7.610703200E-2	7.178468257E-2	2.392822644E-3	9.882357597E0	9.882618603E0
7.730307400E-2	8.614161611E-2	7.178467698E-3	9.820143700E0	9.820524130E0
7.849906300E-2	1.052841991E-1	2.632104978E-2	9.757930756E0	9.758534224E0
7.969500100E-2	1.244267747E-1	4.785645381E-2	9.712467194E0	9.713382071E0
8.089093800E-2	1.363908947E-1	6.460621208E-2	9.681360245E0	9.682536477E0
8.208698000E-2	1.435693651E-1	9.810572863E-2	9.652647018E0	9.654213140E0
8.328296900E-2	1.459621787E-1	1.220339537E-1	9.631111145E0	9.632990145E0
8.447895900E-2	1.579262912E-1	1.220339537E-1	9.619147301E0	9.621217584E0
8.567494900E-2	1.722832322E-1	1.387837082E-1	9.602396965E0	9.604945076E0
8.687083400E-2	1.866401732E-1	1.651047617E-1	9.595218658E0	9.598453794E0
8.806687600E-2	1.842473447E-1	1.890329868E-1	9.602396965E0	9.606024569E0
