"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3,243810000E-2	3,110669553E-1	-9,332008660E-2	1,025085258E1	1,025599581E1
3,363408900E-2	3,206382394E-1	-9,332008660E-2	1,025563812E1	1,026107357E1
3,483028700E-2	3,182454109E-1	-1,004985496E-1	1,025563812E1	1,026106687E1
3,602632900E-2	3,014956415E-1	-1,052841991E-1	1,024606609E1	1,025104164E1
3,722226600E-2	2,751746178E-1	-1,100698411E-1	1,023170948E1	1,023600094E1
3,841820400E-2	2,584248483E-1	-1,124626622E-1	1,021735287E1	1,022123920E1
3,961440200E-2	2,560320199E-1	-1,052841991E-1	1,020299530E1	1,020675023E1
4,081044400E-2	2,536391914E-1	-1,028913707E-1	1,017188931E1	1,017557131E1
4,200643300E-2	2,536391914E-1	-1,052841991E-1	1,013599682E1	1,013971642E1
4,320242300E-2	2,488535494E-1	-1,244267747E-1	1,010488987E1	1,010871947E1
4,439856900E-2	2,368894368E-1	-1,459621787E-1	1,007856941E1	1,008240958E1
4,559461000E-2	2,273181528E-1	-1,483550072E-1	1,004506969E1	1,004873663E1
4,679060000E-2	2,249253243E-1	-1,507478207E-1	1,000678444E1	1,001044710E1
4,798658900E-2	2,201396823E-1	-1,674975902E-1	9,966106415E0	9,969944533E0
4,918273500E-2	2,249253243E-1	-1,698904037E-1	9,915857315E0	9,919862925E0
5,037877700E-2	2,297109663E-1	-1,674975902E-1	9,870393753E0	9,874487096E0
5,157476600E-2	2,297109663E-1	-1,651047617E-1	9,829715729E0	9,833785539E0
5,277075600E-2	2,321037948E-1	-1,507478207E-1	9,789037704E0	9,792949313E0
5,396690200E-2	2,321037948E-1	-1,363908947E-1	9,757930756E0	9,761643677E0
5,516294400E-2	2,368894368E-1	-1,244267747E-1	9,736394882E0	9,740071043E0
5,635893300E-2	2,201396823E-1	-1,124626622E-1	9,719645500E0	9,722788591E0
5,755492300E-2	2,009970993E-1	-1,004985496E-1	9,710074425E0	9,712674458E0
5,875106900E-2	1,914258152E-1	-7,896314561E-2	9,705288887E0	9,707497690E0
5,994711000E-2	1,746760458E-1	-6,460621208E-2	9,698110580E0	9,699898686E0
6,114310000E-2	1,627119333E-1	-5,982056633E-2	9,686145782E0	9,687697032E0
6,233908900E-2	1,555334777E-1	-6,460621208E-2	9,681360245E0	9,682825043E0
6,353523500E-2	1,387837082E-1	-7,178468257E-2	9,693324089E0	9,694583325E0
6,473127700E-2	1,292124242E-1	-5,982056633E-2	9,707681656E0	9,708725842E0
6,592726600E-2	1,124626622E-1	-4,067798331E-2	9,714859962E0	9,715596052E0
6,712325600E-2	1,004985496E-1	-2,392822690E-2	9,729216576E0	9,729765038E0
6,831940200E-2	1,052841991E-1	-1,435693540E-2	9,750752449E0	9,751331407E0
6,951544400E-2	1,076770201E-1	-1,435693540E-2	9,765109062E0	9,765713259E0
7,071148500E-2	1,124626622E-1	-9,571290575E-3	9,777072906E0	9,777724381E0
7,190747500E-2	1,268195957E-1	-2,392822644E-3	9,791430473E0	9,792252021E0
7,310346400E-2	1,435693651E-1	9,571290575E-3	9,805787086E0	9,806842721E0
7,429961000E-2	1,627119333E-1	1,674975827E-2	9,822537422E0	9,823899284E0
7,549565200E-2	1,794617027E-1	1,674975827E-2	9,836894035E0	9,838545183E0
7,669169400E-2	2,009970993E-1	3,110669367E-2	9,848857880E0	9,850957770E0
7,788768300E-2	2,297109663E-1	4,067798331E-2	9,860821724E0	9,863580835E0
7,908367300E-2	2,488535494E-1	3,110669367E-2	9,870393753E0	9,873579318E0
8,027981900E-2	2,656033039E-1	3,349951655E-2	9,879964828E0	9,883591065E0
8,147586000E-2	2,799602449E-1	4,067798331E-2	9,891928673E0	9,895973186E0
8,267190200E-2	2,823530734E-1	4,307080805E-2	9,894321442E0	9,898443067E0
8,386789100E-2	2,727817893E-1	4,785645381E-2	9,891928673E0	9,895804819E0
8,506388100E-2	2,608176768E-1	5,264209956E-2	9,896714211E0	9,900290360E0
8,626002700E-2	2,488535494E-1	6,221338734E-2	9,903892517E0	9,907213815E0
8,745606900E-2	2,440679073E-1	6,460621208E-2	9,906285286E0	9,909502070E0
8,865205800E-2	2,392822653E-1	5,264209956E-2	9,906285286E0	9,909314576E0
8,984804800E-2	2,321037948E-1	4,067798331E-2	9,915857315E0	9,918656823E0
9,104419400E-2	2,416750938E-1	3,110669367E-2	9,920642853E0	9,923634873E0
9,224023500E-2	2,368894368E-1	2,392822690E-2	9,932606697E0	9,935459977E0
9,343622500E-2	2,225325108E-1	2,392822690E-2	9,951749802E0	9,954266291E0
9,463221400E-2	2,129612118E-1	1,435693540E-2	9,958928108E0	9,961215170E0
9,582836000E-2	1,986042857E-1	2,392822644E-3	9,963713646E0	9,965693102E0
9,702440200E-2	1,890329868E-1	-4,785645287E-3	9,973284721E0	9,975077168E0
9,822039100E-2	1,914258152E-1	-9,571290575E-3	9,975677490E0	9,977518571E0
9,941638100E-2	1,890329868E-1	0,000000000E0	9,982855797E0	9,984645378E0
1,006125270E-1	1,770688742E-1	7,178467698E-3	9,992427826E0	9,993999138E0
1,018085690E-1	1,627119333E-1	1,435693540E-2	9,994820595E0	9,996155262E0
1,030045580E-1	1,627119333E-1	1,914258115E-2	9,987641335E0	9,988984985E0
1,042005480E-1	1,674975902E-1	1,674975827E-2	9,973284721E0	9,974705215E0
1,053966940E-1	1,603191197E-1	7,178467698E-3	9,975677490E0	9,976968234E0
1,065927350E-1	1,555334777E-1	7,178467698E-3	9,980463028E0	9,981677436E0
1,077887250E-1	1,507478207E-1	1,674975827E-2	9,987641335E0	9,988792964E0
1,089847140E-1	1,507478207E-1	1,674975827E-2	9,994820595E0	9,995971398E0
1,101808600E-1	1,579262912E-1	1,196411345E-2	9,987641335E0	9,988897000E0
1,113769020E-1	1,722832322E-1	4,785645287E-3	9,985248566E0	9,986735870E0
1,125729440E-1	1,794617027E-1	-1,196411345E-2	9,985248566E0	9,986868306E0
1,137689330E-1	1,962114573E-1	-2,392822690E-2	9,973284721E0	9,975243337E0
1,149649230E-1	2,105683982E-1	-2,153540403E-2	9,958928108E0	9,961177234E0
1,161610690E-1	2,129612118E-1	-1,674975827E-2	9,946963310E0	9,949256863E0
1,173571100E-1	2,177468538E-1	-1,435693540E-2	9,946963310E0	9,949356708E0
1,185531520E-1	2,177468538E-1	-1,914258115E-2	9,944570541E0	9,946972574E0
1,197491410E-1	2,105683982E-1	-1,435693540E-2	9,937392235E0	9,939633273E0
1,209451310E-1	2,153540403E-1	-4,785645287E-3	9,932606697E0	9,934942177E0
1,221412770E-1	2,201396823E-1	-1,914258115E-2	9,930213928E0	9,932672177E0
1,233373190E-1	2,201396823E-1	-3,828516230E-2	9,930213928E0	9,932727515E0
1,245333600E-1	2,249253243E-1	-4,546362907E-2	9,937392235E0	9,940041387E0
1,257294020E-1	2,249253243E-1	-5,742774159E-2	9,939785004E0	9,942495424E0
1,269253910E-1	2,249253243E-1	-7,896314561E-2	9,934999466E0	9,937858973E0
1,281213810E-1	2,440679073E-1	-9,092725813E-2	9,934999466E0	9,938412916E0
1,293175270E-1	2,632105052E-1	-9,332008660E-2	9,925428391E0	9,929356331E0
