"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3,550672800E-2	-1,818545163E-1	9,949356079E0	1,074377418E0	1,000884830E1
3,670271800E-2	-1,674975902E-1	9,958928108E0	1,088734269E0	1,001966301E1
3,789875900E-2	-1,698904037E-1	9,966106415E0	1,083948612E0	1,002631958E1
3,909474900E-2	-1,674975902E-1	9,968499184E0	1,086341500E0	1,002891665E1
4,029079100E-2	-1,674975902E-1	9,973284721E0	1,076770186E0	1,003264161E1
4,148678000E-2	-1,674975902E-1	9,982855797E0	1,043270707E0	1,003861938E1
4,268277000E-2	-1,627119333E-1	9,985248566E0	1,019342422E0	1,003846219E1
4,387881100E-2	-1,483550072E-1	9,992427826E0	1,007378340E0	1,004417414E1
4,507480100E-2	-1,316052526E-1	1,000678444E1	9,954141974E-1	1,005703257E1
4,627084300E-2	-1,268195957E-1	1,001635551E1	9,858429432E-1	1,006555251E1
4,746683200E-2	-1,148554832E-1	1,002353382E1	9,858429432E-1	1,007255223E1
4,866282200E-2	-9,332008660E-2	1,003789139E1	9,810572863E-1	1,008615118E1
4,985886400E-2	-7,417750359E-2	1,004506969E1	9,595218897E-1	1,009106584E1
5,105485300E-2	-4,785645381E-2	1,004985523E1	9,403793216E-1	1,009386911E1
5,225089500E-2	-1,914258115E-2	1,005703354E1	9,188438654E-1	1,009893876E1
5,344688400E-2	-9,571290575E-3	1,005703354E1	8,949156404E-1	1,009677618E1
5,464292600E-2	-1,196411345E-2	1,005464077E1	8,757730722E-1	1,009271632E1
5,583891600E-2	-7,178467698E-3	1,006421185E1	8,566305041E-1	1,010060530E1
5,703490500E-2	0,000000000E0	1,008096218E1	8,374879360E-1	1,011569002E1
5,823094700E-2	-2,392822644E-3	1,008814049E1	8,183453679E-1	1,012127825E1
5,942693600E-2	-2,392822644E-3	1,008574772E1	8,087740541E-1	1,011812375E1
6,062297800E-2	1,674975827E-2	1,007856941E1	8,087740541E-1	1,011098202E1
6,181896800E-2	3,110669367E-2	1,007378292E1	7,872386575E-1	1,010454426E1
6,301495700E-2	3,589234129E-2	1,006660461E1	7,561319470E-1	1,009502611E1
6,421099900E-2	3,828516230E-2	1,006181908E1	7,322037220E-1	1,008849796E1
6,540698900E-2	4,307080805E-2	1,005942631E1	7,130611539E-1	1,008475924E1
6,660303000E-2	5,024927482E-2	1,005942631E1	6,939185858E-1	1,008345703E1
6,779902000E-2	5,503492057E-2	1,005942631E1	6,747759581E-1	1,008218275E1
6,899506100E-2	5,982056633E-2	1,004746246E1	6,508477330E-1	1,006869819E1
7,019105100E-2	6,221338734E-2	1,003071213E1	6,269195080E-1	1,005047682E1
7,138704100E-2	6,699903309E-2	1,001396275E1	6,101697683E-1	1,003275864E1
7,258308200E-2	6,939185411E-2	9,999606133E0	6,029912829E-1	1,001801061E1
7,377907200E-2	7,417750359E-2	9,990034103E0	5,838487148E-1	1,000735545E1
7,497511400E-2	8,853443712E-2	9,982855797E0	5,599204898E-1	9,998937902E0
7,617110300E-2	9,332008660E-2	9,968499184E0	5,383850932E-1	9,983463483E0
7,736714500E-2	1,076770201E-1	9,954142570E0	5,240281820E-1	9,968508123E0
7,856313400E-2	1,363908947E-1	9,939785004E0	5,072783828E-1	9,953655597E0
7,975912400E-2	1,531406492E-1	9,918250084E0	4,905286431E-1	9,931553511E0
8,095516600E-2	1,579262912E-1	9,899106979E0	4,689932466E-1	9,911468830E0
8,215115500E-2	1,603191197E-1	9,877572060E0	4,498506486E-1	9,889110052E0
8,334719700E-2	1,627119333E-1	9,858428955E0	4,259224236E-1	9,868966843E0
8,454318600E-2	1,603191197E-1	9,848857880E0	3,948157430E-1	9,858071983E0
8,573922800E-2	1,435693651E-1	9,836894035E0	3,613162339E-1	9,844574437E0
8,693521800E-2	1,292124242E-1	9,824930191E0	3,349951804E-1	9,831488742E0
8,813120700E-2	1,100698411E-1	9,820143700E0	3,110669553E-1	9,825685742E0
8,932724900E-2	8,374879509E-2	9,808179855E0	2,919243574E-1	9,812880605E0
9,052323900E-2	5,503492057E-2	9,781859398E0	2,799602449E-1	9,786019613E0
9,171928000E-2	4,546362907E-2	9,767501831E0	2,751746178E-1	9,771483001E0
9,291527000E-2	4,546362907E-2	9,767501831E0	2,679961324E-1	9,771283482E0
9,411125900E-2	3,349951655E-2	9,760323524E0	2,536391914E-1	9,763676068E0
9,530730100E-2	2,392822690E-2	9,753145218E0	2,488535494E-1	9,756348820E0
9,650329100E-2	2,153540403E-2	9,743574142E0	2,512463629E-1	9,746836696E0
9,769933200E-2	2,153540403E-2	9,736394882E0	2,488535494E-1	9,739598409E0
9,889532200E-2	1,435693540E-2	9,736394882E0	2,584248483E-1	9,739834435E0
1,000913640E-1	4,785645287E-3	9,736394882E0	2,751746178E-1	9,740283840E0
1,012873530E-1	2,392822644E-3	9,726823807E0	2,775674164E-1	9,730783666E0
1,024833430E-1	1,196411345E-2	9,722038269E0	2,799602449E-1	9,726075724E0
1,036793840E-1	1,914258115E-2	9,729216576E0	2,871387303E-1	9,733471645E0
1,048753740E-1	2,392822690E-2	9,729216576E0	3,014956415E-1	9,733916342E0
1,060714160E-1	3,828516230E-2	9,722038269E0	3,134597540E-1	9,727165614E0
1,072674050E-1	5,742774159E-2	9,726823807E0	3,158525825E-1	9,732120127E0
1,084633950E-1	7,178468257E-2	9,734002113E0	3,158525825E-1	9,739389767E0
1,096594360E-1	8,614161611E-2	9,726823807E0	3,110669553E-1	9,732177783E0
1,108554260E-1	9,332008660E-2	9,714859962E0	3,110669553E-1	9,720286795E0
1,120514680E-1	8,374879509E-2	9,710074425E0	3,110669553E-1	9,715416710E0
1,132474570E-1	6,939185411E-2	9,710074425E0	3,038884699E-1	9,715076364E0
1,144434990E-1	5,982056633E-2	9,714859962E0	2,919243574E-1	9,719429120E0
1,156394890E-1	5,742774159E-2	9,714859962E0	2,823530734E-1	9,719131921E0
1,168354780E-1	5,742774159E-2	9,714859962E0	2,823530734E-1	9,719131921E0
1,180315200E-1	6,939185411E-2	9,726823807E0	2,727817893E-1	9,730895462E0
1,192275090E-1	7,896314561E-2	9,729216576E0	2,584248483E-1	9,732968394E0
1,204235510E-1	7,896314561E-2	9,731609344E0	2,464607358E-1	9,735050000E0
1,216195410E-1	7,178468257E-2	9,731609344E0	2,392822653E-1	9,734815328E0
1,228155820E-1	6,460621208E-2	9,729216576E0	2,368894368E-1	9,732314511E0
1,240115720E-1	6,939185411E-2	9,726823807E0	2,344966233E-1	9,729897495E0
1,252075610E-1	6,460621208E-2	9,719645500E0	2,321037948E-1	9,722631063E0
1,264036030E-1	5,503492057E-2	9,722038269E0	2,344966233E-1	9,725021625E0
1,275995930E-1	4,785645381E-2	9,736394882E0	2,440679073E-1	9,739571073E0
1,287956340E-1	4,067798331E-2	9,745966911E0	2,440679073E-1	9,749107389E0
1,299916240E-1	4,307080805E-2	9,745966911E0	2,440679073E-1	9,749117666E0
1,311876140E-1	4,546362907E-2	9,755537987E0	2,679961324E-1	9,759324274E0
1,323836550E-1	4,307080805E-2	9,762716293E0	3,062812984E-1	9,767614486E0
1,335796450E-1	4,785645381E-2	9,757930756E0	3,421736360E-1	9,764045559E0
1,347756860E-1	5,982056633E-2	9,767501831E0	3,732803464E-1	9,774815023E0
1,359716760E-1	6,221338734E-2	9,781859398E0	3,972085714E-1	9,790118408E0
1,371677180E-1	6,699903309E-2	9,791430473E0	4,283152521E-1	9,801023086E0
1,383637070E-1	7,896314561E-2	9,805787086E0	4,546363056E-1	9,816638413E0
1,395596970E-1	8,614161611E-2	9,817750931E0	4,761717021E-1	9,829669028E0
1,407557390E-1	9,092725813E-2	9,817750931E0	5,000999570E-1	9,830900318E0
1,419517280E-1	8,614161611E-2	9,820143700E0	5,072783828E-1	9,833614494E0
1,431477700E-1	7,896314561E-2	9,832108498E0	5,120640397E-1	9,845750467E0
1,443437590E-1	7,896314561E-2	9,832108498E0	5,144568682E-1	9,845875205E0
1,455398010E-1	8,614161611E-2	9,834501266E0	5,096712112E-1	9,848075969E0
1,467357910E-1	8,135596663E-2	9,832108498E0	5,048855543E-1	9,845399216E0
1,479317800E-1	8,135596663E-2	9,822537422E0	4,953143001E-1	9,835354415E0
1,491278220E-1	8,853443712E-2	9,824930191E0	4,881358147E-1	9,837447239E0
1,503238110E-1	8,614161611E-2	9,824930191E0	4,833501875E-1	9,837189692E0
1,515198010E-1	7,657032460E-2	9,829715729E0	4,642075896E-1	9,840968601E0
1,527157910E-1	6,221338734E-2	9,844072342E0	4,474578202E-1	9,854432976E0
1,539118320E-1	3,828516230E-2	9,860821724E0	4,402793646E-1	9,870720174E0
1,551078740E-1	2,392822690E-2	9,877572060E0	4,331009090E-1	9,887091521E0
1,563038640E-1	1,435693540E-2	9,884750366E0	4,235295951E-1	9,893830059E0
1,574999050E-1	-7,178467698E-3	9,896714211E0	3,996013701E-1	9,904780914E0
