"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3,654579500E-2	4,187439680E-1	9,265008926E0	1,038485050E0	9,332426700E0
3,774173300E-2	4,283152521E-1	9,260223389E0	9,954141974E-1	9,323413569E0
3,893772200E-2	4,354937077E-1	9,243474007E0	9,690931439E-1	9,304332754E0
4,013371200E-2	4,474578202E-1	9,238688469E0	9,499505758E-1	9,298171284E0
4,132970200E-2	4,522434771E-1	9,243474007E0	9,475577474E-1	9,302913606E0
4,252569100E-2	4,498506486E-1	9,245866776E0	9,571290612E-1	9,306154634E0
4,372162900E-2	4,498506486E-1	9,245866776E0	9,690931439E-1	9,307392737E0
4,491761800E-2	4,498506486E-1	9,245866776E0	9,858429432E-1	9,309151645E0
4,611360800E-2	4,570291340E-1	9,257830620E0	1,014556766E0	9,324463998E0
4,730959700E-2	4,522434771E-1	9,286544800E0	1,057627559E0	9,357511129E0
4,850558700E-2	4,450650215E-1	9,308079720E0	1,095912814E0	9,382934287E0
4,970152500E-2	4,522434771E-1	9,312865257E0	1,131805062E0	9,392282266E0
5,089746200E-2	4,642075896E-1	9,317651749E0	1,158126116E0	9,400817991E0
5,209350400E-2	4,737788737E-1	9,317651749E0	1,167697430E0	9,402479344E0
5,328949300E-2	4,761717021E-1	9,317651749E0	1,162911773E0	9,402007094E0
5,448548300E-2	4,809573591E-1	9,336793900E0	1,146162033E0	9,419168101E0
5,568147200E-2	4,953143001E-1	9,370293617E0	1,115055323E0	9,449396124E0
5,687746200E-2	5,024927258E-1	9,401400566E0	1,074377418E0	9,475923089E0
5,807340000E-2	5,024927258E-1	9,432506561E0	1,038485050E0	9,502795913E0
5,926938900E-2	5,096712112E-1	9,458827972E0	9,954141974E-1	9,524706861E0
6,046537900E-2	5,264210105E-1	9,482755661E0	9,475577474E-1	9,544508353E0
6,166136800E-2	5,312066078E-1	9,513862610E0	9,044869542E-1	9,571512883E0
6,285735800E-2	5,192425251E-1	9,540184021E0	8,494520187E-1	9,591991070E0
