"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3,051028100E-2	-3,110669367E-2	1,116491032E1	2,172683001E0	1,137438972E1
3,170632300E-2	-6,699903309E-2	1,124148083E1	2,194218397E0	1,145381921E1
3,290236500E-2	-1,052841991E-1	1,130130100E1	2,196611166E0	1,151327884E1
3,409840600E-2	-1,244267747E-1	1,136590767E1	2,194218397E0	1,157643872E1
3,529444800E-2	-1,268195957E-1	1,143769264E1	2,189432621E0	1,164605132E1
3,649049000E-2	-1,268195957E-1	1,150947666E1	2,172683001E0	1,171344047E1
3,768647900E-2	-1,387837082E-1	1,157886887E1	2,158325911E0	1,177912713E1
3,888252100E-2	-1,627119333E-1	1,164108181E1	2,124826431E0	1,183453202E1
4,007856300E-2	-1,866401732E-1	1,169611740E1	2,072184324E0	1,187972831E1
4,127460400E-2	-2,057827413E-1	1,174636650E1	2,009970903E0	1,191886973E1
4,247064600E-2	-2,225325108E-1	1,179183006E1	1,938186288E0	1,195212713E1
4,366663500E-2	-2,344966233E-1	1,183011532E1	1,859223247E0	1,197761780E1
4,486267700E-2	-2,297109663E-1	1,186122227E1	1,770688772E0	1,199486138E1
4,605871900E-2	-2,249253243E-1	1,189472103E1	1,677368641E0	1,201451395E1
4,725476000E-2	-2,297109663E-1	1,192822075E1	1,567298889E0	1,203293992E1
4,845080200E-2	-2,201396823E-1	1,193779182E1	1,438086390E0	1,202611440E1
4,964684400E-2	-1,914258152E-1	1,194975662E1	1,301695466E0	1,202196898E1
5,084288500E-2	-1,746760458E-1	1,197607708E1	1,158126116E0	1,203321196E1
5,203887500E-2	-1,579262912E-1	1,200957680E1	1,002592683E0	1,205238846E1
5,323491700E-2	-1,316052526E-1	1,203111267E1	8,494520187E-1	1,206178100E1
5,443095800E-2	-1,100698411E-1	1,203589821E1	6,891329288E-1	1,205611319E1
5,562700000E-2	-1,100698411E-1	1,204307652E1	5,120640397E-1	1,205446046E1
5,682304200E-2	-1,148554832E-1	1,205025482E1	3,302095234E-1	1,205532544E1
5,801903100E-2	-1,076770201E-1	1,205504036E1	1,603191197E-1	1,205658719E1
5,921507300E-2	-1,052841991E-1	1,206939697E1	4,785645287E-3	1,206985712E1
6,041111500E-2	-1,076770201E-1	1,206939697E1	-1,531406492E-1	1,207084876E1
6,160715600E-2	-1,028913707E-1	1,205743313E1	-3,110669553E-1	1,206188389E1
6,280319800E-2	-1,028913707E-1	1,206221867E1	-4,522434771E-1	1,207113209E1
6,399924000E-2	-1,124626622E-1	1,206221867E1	-5,814558864E-1	1,207674865E1
6,519522900E-2	-1,339980662E-1	1,204546928E1	-7,130611539E-1	1,206730053E1
6,639127100E-2	-1,507478207E-1	1,202871990E1	-8,398807645E-1	1,205894801E1
6,758731300E-2	-1,555334777E-1	1,202154064E1	-9,523434043E-1	1,206020680E1
6,878335400E-2	-1,531406492E-1	1,200718403E1	-1,050449133E0	1,205401857E1
6,997934400E-2	-1,411765367E-1	1,200000572E1	-1,148554921E0	1,205567280E1
7,117538500E-2	-1,363908947E-1	1,200479126E1	-1,232303619E0	1,206864482E1
7,237142700E-2	-1,316052526E-1	1,200957680E1	-1,308874011E0	1,208140745E1
7,356746900E-2	-1,052841991E-1	1,200000572E1	-1,383051515E0	1,207990288E1
7,476351000E-2	-8,614161611E-2	1,199282742E1	-1,459621787E0	1,208163174E1
7,595955200E-2	-7,657032460E-2	1,199282742E1	-1,533799291E0	1,209075319E1
7,715559400E-2	-6,460621208E-2	1,199522018E1	-1,603191137E0	1,210205367E1
7,835158300E-2	-4,307080805E-2	1,199761295E1	-1,665404558E0	1,211272653E1
7,954762500E-2	-7,178467698E-3	1,200239849E1	-1,718046665E0	1,212473940E1
8,074366700E-2	2,632104978E-2	1,200957680E1	-1,773081541E0	1,213978772E1
8,193970800E-2	5,742774159E-2	1,202393341E1	-1,832902193E0	1,216296851E1
8,313575000E-2	9,571290761E-2	1,203829098E1	-1,890329838E0	1,218617895E1
8,433174000E-2	1,507478207E-1	1,205264759E1	-1,945364833E0	1,220956523E1
8,552778100E-2	2,129612118E-1	1,205504036E1	-2,005185366E0	1,222252506E1
8,672382300E-2	2,727817893E-1	1,205025482E1	-2,062613010E0	1,222854953E1
8,791986500E-2	3,373879790E-1	1,204546928E1	-2,105684042E0	1,223278653E1
8,911590600E-2	4,067798555E-1	1,202393341E1	-2,146361828E0	1,222077385E1
9,031194800E-2	4,689932466E-1	1,198804188E1	-2,184647083E0	1,219449817E1
9,150793800E-2	5,168496966E-1	1,195214939E1	-2,196611166E0	1,216330996E1
9,270397900E-2	5,599204898E-1	1,192343521E1	-2,189432621E0	1,213570902E1
9,390002100E-2	6,053841114E-1	1,188275719E1	-2,172683001E0	1,209491462E1
9,509606300E-2	6,388836503E-1	1,184207916E1	-2,146361828E0	1,205196583E1
9,629210400E-2	6,699903607E-1	1,180379391E1	-2,110469580E0	1,200968441E1
9,748809400E-2	6,963114142E-1	1,174158096E1	-2,050648928E0	1,193962873E1
9,868413500E-2	7,034898400E-1	1,167218876E1	-1,978864312E0	1,185962868E1
9,988017700E-2	7,082754970E-1	1,160758305E1	-1,907079697E0	1,178450641E1
1,010762190E-1	7,130611539E-1	1,154776192E1	-1,820937991E0	1,171217643E1
1,022722600E-1	7,154539824E-1	1,148315620E1	-1,710868239E0	1,163193109E1
1,034683020E-1	7,130611539E-1	1,140897846E1	-1,591227055E0	1,154145785E1
1,046642920E-1	7,154539824E-1	1,134197903E1	-1,469193101E0	1,145909643E1
1,058603330E-1	7,178468108E-1	1,128933716E1	-1,328016520E0	1,138982289E1
1,070563750E-1	7,130611539E-1	1,122712421E1	-1,174875975E0	1,131092869E1
1,082524170E-1	7,082754970E-1	1,116251755E1	-1,009771109E0	1,123045368E1
1,094484580E-1	6,987041831E-1	1,110030460E1	-8,327022791E-1	1,115340051E1
1,106444480E-1	6,939185858E-1	1,105005455E1	-6,436693072E-1	1,109051571E1
1,118404900E-1	7,010970116E-1	1,100459099E1	-4,450650215E-1	1,103587979E1
1,130365310E-1	7,130611539E-1	1,095194912E1	-2,344966233E-1	1,097764248E1
1,142325730E-1	7,154539824E-1	1,090648556E1	-2,153540403E-2	1,092994810E1
1,154286150E-1	7,010970116E-1	1,085623646E1	1,818545163E-1	1,088037123E1
1,166246560E-1	6,843472719E-1	1,079162979E1	3,828516304E-1	1,082008226E1
1,178206460E-1	6,843472719E-1	1,073420238E1	5,790630579E-1	1,077157120E1
1,190166880E-1	6,867401004E-1	1,067198944E1	7,800601721E-1	1,072247474E1
1,202127290E-1	6,675975323E-1	1,061934662E1	9,882357717E-1	1,068610401E1
1,214087710E-1	6,652047038E-1	1,057627583E1	1,191625714E0	1,066396172E1
1,226048130E-1	6,699903607E-1	1,052124119E1	1,390229940E0	1,063382069E1
1,238008540E-1	6,795616150E-1	1,046620655E1	1,588834286E0	1,060790639E1
1,249968440E-1	6,963114142E-1	1,040877819E1	1,794616938E0	1,058528049E1
1,261928850E-1	7,082754970E-1	1,034656525E1	1,988435626E0	1,055968479E1
1,273889270E-1	7,154539824E-1	1,029153061E1	2,170290232E0	1,054218366E1
1,285849690E-1	7,250252366E-1	1,022931671E1	2,337787628E0	1,051807173E1
1,297810100E-1	7,226324677E-1	1,016710377E1	2,502892494E0	1,049555466E1
1,309770000E-1	7,154539824E-1	1,011206818E1	2,677568436E0	1,048499737E1
1,321730420E-1	7,178468108E-1	1,005703354E1	2,864208698E0	1,048155137E1
1,333690830E-1	7,202396393E-1	1,000678444E1	3,048455954E0	1,048558838E1
1,345651250E-1	7,202396393E-1	9,958928108E0	3,235096216E0	1,049594406E1
1,357611670E-1	7,202396393E-1	9,920642853E0	3,397808075E0	1,051108936E1
1,369572080E-1	7,202396393E-1	9,882357597E0	3,522234917E0	1,051598191E1
1,381531980E-1	7,250252366E-1	9,841679573E0	3,634697676E0	1,051643217E1
1,393492400E-1	7,298108935E-1	9,793823242E0	3,756731510E0	1,051497167E1
1,405452810E-1	7,226324677E-1	9,755537987E0	3,883551121E0	1,052495551E1
1,417413230E-1	7,202396393E-1	9,724431038E0	4,010370731E0	1,054354673E1
1,429373650E-1	7,369893789E-1	9,702896118E0	4,125226021E0	1,056914548E1
1,441333540E-1	7,657032609E-1	9,681360245E0	4,232903481E0	1,059398459E1
1,453293960E-1	7,920243144E-1	9,652647018E0	4,321437836E0	1,060545718E1
1,465254380E-1	8,279166222E-1	9,633503914E0	4,383651257E0	1,061631960E1
1,477214790E-1	8,638089895E-1	9,611968994E0	4,424329281E0	1,061653444E1
1,489175210E-1	8,901300430E-1	9,588040352E0	4,448257446E0	1,060706574E1
1,501135100E-1	9,355936646E-1	9,552147865E0	4,460221291E0	1,058359288E1
1,513095520E-1	9,810572863E-1	9,516255379E0	4,457828522E0	1,055432731E1
1,525055940E-1	1,012163997E0	9,492327690E0	4,450650215E0	1,053266577E1
1,537016350E-1	1,050449133E0	9,470791817E0	4,426722050E0	1,050691244E1
