"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3,715590000E-2	5,264209956E-2	9,662218094E0	2,775674164E-1	9,666347467E0
3,835189000E-2	6,460621208E-2	9,674181938E0	2,560320199E-1	9,677785001E0
3,954787900E-2	7,178468257E-2	9,686145782E0	2,392822653E-1	9,689366809E0
4,074386900E-2	7,657032460E-2	9,702896118E0	2,129612118E-1	9,705534945E0
4,193985800E-2	7,178468257E-2	9,717252731E0	1,770688742E-1	9,719130983E0
4,313584800E-2	6,699903309E-2	9,722038269E0	1,459621787E-1	9,723364743E0
4,433183800E-2	8,374879509E-2	9,729216576E0	1,148554832E-1	9,730254921E0
4,555173300E-2	8,614161611E-2	9,748359680E0	7,896314561E-2	9,749060058E0
4,672376500E-2	7,657032460E-2	9,767501831E0	4,785645381E-2	9,767919189E0
4,791980600E-2	7,896314561E-2	9,781859398E0	1,914258115E-2	9,782196834E0
4,911584800E-2	7,417750359E-2	9,793823242E0	0,000000000E0	9,794104145E0
5,031183800E-2	5,264209956E-2	9,801001549E0	-1,914258115E-2	9,801161614E0
5,150782700E-2	3,589234129E-2	9,815358162E0	-4,067798331E-2	9,815508077E0
5,270381700E-2	1,435693540E-2	9,834501266E0	-4,307080805E-2	9,834606061E0
5,389980600E-2	-1,914258115E-2	9,856036186E0	-2,871387079E-2	9,856096602E0
5,509579600E-2	-5,264209956E-2	9,870393753E0	-1,435693540E-2	9,870544572E0
5,629178500E-2	-5,264209956E-2	9,877572060E0	-9,571290575E-3	9,877716973E0
5,748777500E-2	-1,435693540E-2	9,887143135E0	-1,435693540E-2	9,887163982E0
5,868376500E-2	1,674975827E-2	9,889535904E0	-2,153540403E-2	9,889573536E0
5,987975400E-2	2,153540403E-2	9,891928673E0	-2,632104978E-2	9,891987133E0
6,107579600E-2	7,178467698E-3	9,901499748E0	-3,110669367E-2	9,901551213E0
6,227178500E-2	-4,785645287E-3	9,901499748E0	-4,067798331E-2	9,901584462E0
6,346777500E-2	0,000000000E0	9,901499748E0	-4,785645381E-2	9,901615399E0
6,466376500E-2	0,000000000E0	9,911071777E0	-5,503492057E-2	9,911224577E0
6,585975400E-2	-1,914258115E-2	9,927821159E0	-6,939185411E-2	9,928082123E0
6,705574400E-2	-3,110669367E-2	9,942177773E0	-8,614161611E-2	9,942599603E0
6,825173300E-2	-2,871387079E-2	9,954142570E0	-8,135596663E-2	9,954516442E0
6,944772300E-2	-2,632104978E-2	9,968499184E0	-7,417750359E-2	9,968809913E0
7,064371300E-2	-3,589234129E-2	9,968499184E0	-7,178468257E-2	9,968822261E0
7,183970200E-2	-2,871387079E-2	9,958928108E0	-6,221338734E-2	9,959163823E0
7,303569200E-2	-1,914258115E-2	9,951749802E0	-5,982056633E-2	9,951948003E0
7,423168100E-2	-2,153540403E-2	9,951749802E0	-5,503492057E-2	9,951925278E0
7,542772300E-2	-3,589234129E-2	9,942177773E0	-5,503492057E-2	9,942394881E0
7,662371300E-2	-4,785645381E-2	9,932606697E0	-6,699903309E-2	9,932947947E0
7,781970200E-2	-5,503492057E-2	9,932606697E0	-7,417750359E-2	9,933036139E0
7,901569200E-2	-6,939185411E-2	9,923035622E0	-8,614161611E-2	9,923652128E0
8,021168100E-2	-7,657032460E-2	9,903892517E0	-1,028913707E-1	9,904722946E0
8,140767100E-2	-6,699903309E-2	9,884750366E0	-1,172483116E-1	9,885672756E0
8,260366000E-2	-5,503492057E-2	9,872786522E0	-1,268195957E-1	9,873754390E0
8,379965000E-2	-5,742774159E-2	9,863214493E0	-1,339980662E-1	9,864291843E0
8,499564000E-2	-6,699903309E-2	9,844072342E0	-1,339980662E-1	9,845212269E0
