"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3,604391300E-2	-2,656033039E-1	1,013360405E1	1,801795483E0	1,029596732E1
3,723990300E-2	-2,632105052E-1	1,012881851E1	1,746760488E0	1,028170299E1
3,843589200E-2	-2,656033039E-1	1,013121128E1	1,677368641E0	1,027256310E1
3,963188200E-2	-2,679961324E-1	1,014078236E1	1,617548108E0	1,027247539E1
4,082787100E-2	-2,799602449E-1	1,014556789E1	1,579262972E0	1,027156255E1
4,202386100E-2	-2,871387303E-1	1,013838959E1	1,545763373E0	1,025957000E1
4,321979800E-2	-2,919243574E-1	1,013838959E1	1,526620865E0	1,025683843E1
4,441578800E-2	-3,134597540E-1	1,014556789E1	1,505085468E0	1,026138817E1
4,561177800E-2	-3,302095234E-1	1,013838959E1	1,485942841E0	1,025202457E1
4,680776700E-2	-3,421736360E-1	1,013360405E1	1,478764415E0	1,024664618E1
4,800375700E-2	-3,756731451E-1	1,014078236E1	1,481157184E0	1,025526322E1
4,919974600E-2	-3,972085714E-1	1,013838959E1	1,483550072E0	1,025405475E1
5,039573600E-2	-4,115654826E-1	1,013360405E1	1,488335729E0	1,025058342E1
5,159172500E-2	-4,307080805E-1	1,013360405E1	1,507478237E0	1,025416652E1
5,278766300E-2	-4,450650215E-1	1,012164021E1	1,526620865E0	1,024579204E1
5,398365300E-2	-4,546363056E-1	1,011446095E1	1,543370605E0	1,024163108E1
5,517964200E-2	-4,642075896E-1	1,011446095E1	1,562513232E0	1,024496249E1
5,637563200E-2	-4,546363056E-1	1,009531879E1	1,579262972E0	1,022820743E1
5,757162100E-2	-4,283152521E-1	1,007617569E1	1,600798368E0	1,021152907E1
5,876761100E-2	-4,163511395E-1	1,007617569E1	1,619940877E0	1,021405273E1
5,996360000E-2	-4,163511395E-1	1,007378292E1	1,634297848E0	1,021397964E1
6,115959000E-2	-4,067798555E-1	1,006660461E1	1,643869162E0	1,020805095E1
6,235558000E-2	-3,876372576E-1	1,006421185E1	1,651047587E0	1,020610508E1
6,355151700E-2	-3,708875179E-1	1,004746246E1	1,648654819E0	1,018857803E1
6,474750700E-2	-3,661018610E-1	1,002831936E1	1,634297848E0	1,016720951E1
6,594349600E-2	-3,637090325E-1	1,003071213E1	1,617548108E0	1,016680539E1
6,713948600E-2	-3,517449200E-1	1,004267693E1	1,598405480E0	1,017516508E1
6,833547500E-2	-3,326023519E-1	1,004985523E1	1,579262972E0	1,017861906E1
6,953146500E-2	-3,326023519E-1	1,005464077E1	1,576870084E0	1,018297327E1
7,072745500E-2	-3,397808075E-1	1,006181908E1	1,581655741E0	1,019103964E1
7,192344400E-2	-3,469592929E-1	1,007378292E1	1,586441398E0	1,020383650E1
7,311938200E-2	-3,684946895E-1	1,008096218E1	1,593619823E0	1,021279643E1
7,431537100E-2	-3,900300860E-1	1,008574772E1	1,607976794E0	1,022056847E1
7,551136100E-2	-4,043870270E-1	1,008335495E1	1,627119422E0	1,022179502E1
7,670735000E-2	-4,187439680E-1	1,008096218E1	1,651047587E0	1,022384972E1
7,790334000E-2	-4,283152521E-1	1,008574772E1	1,663011789E0	1,023090266E1
7,909933000E-2	-4,331009090E-1	1,010249710E1	1,682154298E0	1,025073983E1
8,029531900E-2	-4,426721931E-1	1,010488987E1	1,710868239E0	1,025825658E1
8,149130900E-2	-4,594219327E-1	1,008814049E1	1,730010748E0	1,024571053E1
8,268729800E-2	-4,713860750E-1	1,007378292E1	1,746760488E0	1,023496357E1
8,388323600E-2	-4,833501875E-1	1,007617569E1	1,756331801E0	1,023951392E1
8,507922500E-2	-4,953143001E-1	1,008096218E1	1,756331801E0	1,024479556E1
8,627521500E-2	-4,977070987E-1	1,007378292E1	1,756331801E0	1,023784724E1
8,747120500E-2	-5,048855543E-1	1,006181908E1	1,756331801E0	1,022642723E1
8,866719400E-2	-5,048855543E-1	1,006660461E1	1,751546144E0	1,023031533E1
8,986318400E-2	-5,024927258E-1	1,007378292E1	1,751546144E0	1,023726112E1
9,105917300E-2	-4,953143001E-1	1,007856941E1	1,753939033E0	1,024203104E1
9,225511100E-2	-4,881358147E-1	1,009053326E1	1,746760488E0	1,025223440E1
9,345110000E-2	-4,977070987E-1	1,009053326E1	1,727617979E0	1,024945060E1
9,464709000E-2	-5,168496966E-1	1,008814049E1	1,718046665E0	1,024643335E1
9,584308000E-2	-5,383850932E-1	1,010728264E1	1,708475351E0	1,026478976E1
9,703906900E-2	-5,599204898E-1	1,012881851E1	1,689332843E0	1,028398371E1
9,823505900E-2	-5,551348329E-1	1,014078236E1	1,670190215E0	1,029238441E1
9,943104800E-2	-5,407779217E-1	1,015513897E1	1,653440475E0	1,030306526E1
1,006270380E-1	-5,407779217E-1	1,017667484E1	1,636690736E0	1,032162333E1
1,018230280E-1	-5,551348329E-1	1,020060253E1	1,624726534E0	1,034409025E1
1,030189650E-1	-5,838487148E-1	1,021735287E1	1,617548108E0	1,036106369E1
1,042149550E-1	-5,958128572E-1	1,022931671E1	1,600798368E0	1,037094348E1
1,054109440E-1	-5,910272002E-1	1,025324535E1	1,584048629E0	1,039170648E1
1,066069340E-1	-5,934200287E-1	1,027238750E1	1,569691658E0	1,040855534E1
1,078029230E-1	-6,005984545E-1	1,028435135E1	1,550549030E0	1,041790783E1
1,089989130E-1	-6,005984545E-1	1,029392338E1	1,524227977E0	1,042347581E1
1,101949030E-1	-5,934200287E-1	1,030588722E1	1,500299811E0	1,043141209E1
1,113908400E-1	-5,886343718E-1	1,032024384E1	1,471585870E0	1,044123978E1
1,125868300E-1	-5,766702294E-1	1,033460140E1	1,430907965E0	1,044911634E1
1,137828190E-1	-5,599204898E-1	1,035374355E1	1,395015597E0	1,046229349E1
1,149788090E-1	-5,312066078E-1	1,036092186E1	1,363908887E0	1,046380092E1
1,161747980E-1	-5,024927258E-1	1,037527943E1	1,325623751E0	1,047168565E1
1,173707880E-1	-4,761717021E-1	1,038485050E1	1,287338614E0	1,047516588E1
1,185667780E-1	-4,426721931E-1	1,038724327E1	1,249053478E0	1,047143333E1
1,197627670E-1	-4,283152521E-1	1,039202881E1	1,220339537E0	1,047219869E1
1,209587570E-1	-4,283152521E-1	1,039920712E1	1,191625714E0	1,047601711E1
1,221546940E-1	-4,259224236E-1	1,041356373E1	1,160519004E0	1,048668316E1
1,233506840E-1	-4,235295951E-1	1,041595650E1	1,136590719E0	1,048634186E1
1,245466730E-1	-4,139583111E-1	1,042313576E1	1,124626637E0	1,049180183E1
1,257426630E-1	-4,091726840E-1	1,043749237E1	1,107876897E0	1,050409732E1
1,269386530E-1	-4,187439680E-1	1,044945621E1	1,088734269E0	1,051436275E1
1,281346420E-1	-4,211367965E-1	1,046859932E1	1,081555843E0	1,053274375E1
1,293306320E-1	-4,163511395E-1	1,048774147E1	1,074377418E0	1,055084623E1
1,305266210E-1	-4,043870270E-1	1,050209904E1	1,064806104E0	1,056368426E1
1,317226110E-1	-3,924229145E-1	1,051406288E1	1,052842021E0	1,057392975E1
1,329185480E-1	-3,852444589E-1	1,052602673E1	1,050449133E0	1,058532453E1
1,341145380E-1	-3,732803464E-1	1,053081226E1	1,060020447E0	1,059060850E1
1,353105280E-1	-3,469592929E-1	1,052124119E1	1,071984529E0	1,058140103E1
1,365065170E-1	-3,110669553E-1	1,051167011E1	1,076770186E0	1,057125372E1
1,377025070E-1	-2,799602449E-1	1,050927734E1	1,081555843E0	1,056849332E1
1,388984960E-1	-2,440679073E-1	1,050449181E1	1,095912814E0	1,056432403E1
1,400944860E-1	-1,914258152E-1	1,050688457E1	1,117448211E0	1,056787386E1
1,412904750E-1	-1,459621787E-1	1,050449181E1	1,131805062E0	1,056629716E1
1,424864130E-1	-1,220339537E-1	1,049013424E1	1,143769264E0	1,055300984E1
1,436824030E-1	-8,614161611E-2	1,047817039E1	1,162911773E0	1,054285725E1
1,448783920E-1	-3,828516230E-2	1,048056316E1	1,172483087E0	1,054601283E1
1,460743820E-1	-4,785645287E-3	1,049731255E1	1,184447169E0	1,056392487E1
