"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3,790703300E-2	-3,828516304E-1	9,592825890E0	9,308080077E-1	9,645480157E0
3,910297100E-2	-3,804588020E-1	9,600004196E0	9,523434043E-1	9,654625183E0
4,029890800E-2	-3,852444589E-1	9,604789734E0	9,595218897E-1	9,660283711E0
4,149495000E-2	-4,043870270E-1	9,604789734E0	9,619147182E-1	9,661303982E0
4,269088700E-2	-4,211367965E-1	9,611968994E0	9,643075466E-1	9,669394665E0
4,388687700E-2	-4,259224236E-1	9,621540070E0	9,595218897E-1	9,678642750E0
4,508281400E-2	-4,378865361E-1	9,626325607E0	9,427721500E-1	9,682288399E0
4,627875200E-2	-4,546363056E-1	9,640682220E0	9,260223508E-1	9,695718913E0
4,747479400E-2	-4,570291340E-1	9,650253296E0	9,188438654E-1	9,704665803E0
4,867073100E-2	-4,474578202E-1	9,647860527E0	9,116654396E-1	9,701163081E0
4,986666900E-2	-4,474578202E-1	9,645467758E0	8,997012973E-1	9,697666173E0
5,106260600E-2	-4,498506486E-1	9,655039787E0	9,044869542E-1	9,707742042E0
5,225864800E-2	-4,498506486E-1	9,671789169E0	9,236295223E-1	9,726199815E0
5,345458500E-2	-4,474578202E-1	9,693324089E0	9,499505758E-1	9,750033666E0
5,465057500E-2	-4,474578202E-1	9,707681656E0	9,810572863E-1	9,767383223E0
5,584651200E-2	-4,546363056E-1	9,712467194E0	1,014556766E0	9,775890680E0
5,704245000E-2	-4,594219327E-1	9,734002113E0	1,043270707E0	9,800524446E0
5,823849200E-2	-4,546363056E-1	9,748359680E0	1,079162955E0	9,818442000E0
5,943442900E-2	-4,570291340E-1	9,745966911E0	1,107876897E0	9,819375636E0
6,063036700E-2	-4,642075896E-1	9,745966911E0	1,119840980E0	9,821069369E0
6,182630400E-2	-4,642075896E-1	9,753145218E0	1,136590719E0	9,830115401E0
6,302234600E-2	-4,666004181E-1	9,748359680E0	1,158126116E0	9,827995142E0
6,421828300E-2	-4,785645306E-1	9,731609344E0	1,179661512E0	9,814522185E0
6,541422100E-2	-4,809573591E-1	9,726823807E0	1,210768223E0	9,813683357E0
6,661015800E-2	-4,881358147E-1	9,724431038E0	1,237089276E0	9,814949081E0
6,780620000E-2	-5,000999570E-1	9,714859962E0	1,258624673E0	9,808809312E0
6,900218900E-2	-5,072783828E-1	9,695717812E0	1,282552958E0	9,793325142E0
7,019812700E-2	-5,168496966E-1	9,671789169E0	1,304088354E0	9,772987557E0
7,139406400E-2	-5,312066078E-1	9,657432556E0	1,330409408E0	9,763102644E0
7,259005400E-2	-5,407779217E-1	9,650253296E0	1,359123230E0	9,760483871E0
7,378604400E-2	-5,431707501E-1	9,650253296E0	1,385444283E0	9,764316617E0
7,498198100E-2	-5,383850932E-1	9,655039787E0	1,418943882E0	9,773589594E0
7,617791900E-2	-5,216353536E-1	9,650253296E0	1,454836130E0	9,773230801E0
7,737396000E-2	-5,048855543E-1	9,635896683E0	1,488335729E0	9,763224751E0
7,856989800E-2	-4,929214716E-1	9,638289452E0	1,519442320E0	9,769764587E0
7,976583500E-2	-4,857429862E-1	9,647860527E0	1,545763373E0	9,782972115E0
